Geographic code,Geographic name,Global non-response rate,Data quality flag,Sex,Total (2016 Counts),Broad Age Groups: 0 to 14 (2016 Counts),Broad Age Groups: 15 to 64 (2016 Counts),Broad Age Groups: 65 years and over (2016 Counts),Broad Age Groups: 85 years and over (2016 Counts),Total (2011 Counts),Broad Age Groups: 0 to 14 (2011 Counts),Broad Age Groups: 15 to 64 (2011 Counts),Broad Age Groups: 65 years and over (2011 Counts),Broad Age Groups: 85 years and over (2011 Counts),Total (2006 Counts),Broad Age Groups: 0 to 14 (2006 Counts),Broad Age Groups: 15 to 64 (2006 Counts),Broad Age Groups: 65 years and over (2006 Counts),Broad Age Groups: 85 years and over (2006 Counts),Total (2001 Counts),Broad Age Groups: 0 to 14 (2001 Counts),Broad Age Groups: 15 to 64 (2001 Counts),Broad Age Groups: 65 years and over (2001 Counts),Broad Age Groups: 85 years and over (2001 Counts),Total (% Distribution 2016),Broad Age Groups: 0 to 14 (% Distribution 2016) ,Broad Age Groups: 15 to 64 (% Distribution 2016),Broad Age Groups: 65 years and over (% Distribution 2016),Broad Age Groups: 85 years and over (% Distribution 2016),Total (% Distribution 2011),Broad Age Groups: 0 to 14 (% Distribution 2011) ,Broad Age Groups: 15 to 64 (% Distribution 2011),Broad Age Groups: 65 years and over (% Distribution 2011),Broad Age Groups: 85 years and over (% Distribution 2011),Total (% Distribution 2006),Broad Age Groups: 0 to 14 (% Distribution 2006) ,Broad Age Groups: 15 to 64 (% Distribution 2006),Broad Age Groups: 65 years and over (% Distribution 2006),Broad Age Groups: 85 years and over (% Distribution 2006),Total (% Distribution 2001),Broad Age Groups: 0 to 14 (% Distribution 2001) ,Broad Age Groups: 15 to 64 (% Distribution 2001),Broad Age Groups: 65 years and over (% Distribution 2001),Broad Age Groups: 85 years and over (% Distribution 2001),Total (Percent Change 2011 to 2016),Broad Age Groups: 0 to 14 (Percent Change 2011 to 2016),Broad Age Groups: 15 to 64 (Percent Change 2011 to 2016),Broad Age Groups: 65 years and over (Percent Change 2011 to 2016),Broad Age Groups: 85 years and over (Percent Change 2011 to 2016),Total (Percent Change 2006 to 2016),Broad Age Groups: 0 to 14 (Percent Change 2006 to 2016),Broad Age Groups: 15 to 64 (Percent Change 2006 to 2016),Broad Age Groups: 65 years and over (Percent Change 2006 to 2016),Broad Age Groups: 85 years and over (Percent Change 2006 to 2016),Total (Percent Change 2001 to 2016),Broad Age Groups: 0 to 14 (Percent Change 2001 to 2016),Broad Age Groups: 15 to 64 (Percent Change 2001 to 2016),Broad Age Groups: 65 years and over (Percent Change 2001 to 2016),Broad Age Groups: 85 years and over (Percent Change 2001 to 2016)
01,Canada,4.0,20000,Both sexes,35151730,5839570,23376530,5935635,770780,33476685,5607345,22924285,4945055,645510,31612900,5579840,21697805,4335255,520610,30007095,5725535,20393010,3888550,415910,100,16.6,66.5,16.9,2.2,100,16.8,68.5,14.8,1.9,100,17.7,68.6,13.7,1.6,100,19.1,68,13,1.4,5,4.1,2,20,19.4,11.2,4.7,7.7,36.9,48.1,17.1,2,14.6,52.6,85.3
01,Canada,4.0,20000,Male,17264200,2992925,11576130,2695150,268790,16414230,2871100,11344355,2198775,208300,15475970,2857320,10731550,1887100,161925,14706850,2930995,10113205,1662655,125585,100,17.3,67.1,15.6,1.6,100,17.5,69.1,13.4,1.3,100,18.5,69.3,12.2,1,100,19.9,68.8,11.3,0.9,5.2,4.2,2,22.6,29,11.6,4.7,7.9,42.8,66,17.4,2.1,14.5,62.1,114
01,Canada,4.0,20000,Female,17887530,2846650,11800400,3240485,501990,17062455,2736245,11579930,2746285,437210,16136925,2722515,10966255,2448155,358685,15300245,2794545,10279805,2225900,290330,100,15.9,66,18.1,2.8,100,16,67.9,16.1,2.6,100,16.9,68,15.2,2.2,100,18.3,67.2,14.5,1.9,4.8,4,1.9,18,14.8,10.8,4.6,7.6,32.4,40,16.9,1.9,14.8,45.6,72.9
10,Newfoundland and Labrador,4.0,00000,Both sexes,519715,74440,344250,101025,9360,514535,76625,355800,82105,8555,505465,78230,356975,70265,7650,512930,88770,361105,63060,6315,100,14.3,66.2,19.4,1.8,100,14.9,69.1,16,1.7,100,15.5,70.6,13.9,1.5,100,17.3,70.4,12.3,1.2,1,-2.9,-3.2,23,9.4,2.8,-4.8,-3.6,43.8,22.4,1.3,-16.1,-4.7,60.2,48.2
10,Newfoundland and Labrador,4.0,00000,Male,253925,38200,168555,47170,3245,250565,39260,173780,37525,2800,245735,40025,174105,31600,2325,250965,45545,177415,28000,2020,100,15,66.4,18.6,1.3,100,15.7,69.4,15,1.1,100,16.3,70.9,12.9,0.9,100,18.1,70.7,11.2,0.8,1.3,-2.7,-3,25.7,15.9,3.3,-4.6,-3.2,49.3,39.6,1.2,-16.1,-5,68.5,60.6
10,Newfoundland and Labrador,4.0,00000,Female,265790,36235,175695,53855,6120,263970,37370,182025,44580,5755,259740,38200,182875,38665,5330,261965,43220,183685,35060,4295,100,13.6,66.1,20.3,2.3,100,14.2,69,16.9,2.2,100,14.7,70.4,14.9,2.1,100,16.5,70.1,13.4,1.6,0.7,-3,-3.5,20.8,6.3,2.3,-5.1,-3.9,39.3,14.8,1.5,-16.2,-4.3,53.6,42.5
11,Prince Edward Island,4.1,00000,Both sexes,142905,22685,92510,27715,3080,140200,23060,94360,22785,2995,135850,23985,91680,20180,2690,135295,26645,90075,18570,2465,100,15.9,64.7,19.4,2.2,100,16.4,67.3,16.3,2.1,100,17.7,67.5,14.9,2,100,19.7,66.6,13.7,1.8,1.9,-1.6,-2,21.6,2.8,5.2,-5.4,0.9,37.3,14.5,5.6,-14.9,2.7,49.2,24.9
11,Prince Edward Island,4.1,00000,Male,69305,11570,45090,12640,1020,67605,11700,45765,10135,890,65595,12255,44580,8760,765,65750,13595,44320,7840,725,100,16.7,65.1,18.2,1.5,100,17.3,67.7,15,1.3,100,18.7,68,13.4,1.2,100,20.7,67.4,11.9,1.1,2.5,-1.1,-1.5,24.7,14.6,5.7,-5.6,1.1,44.3,33.3,5.4,-14.9,1.7,61.2,40.7
11,Prince Edward Island,4.1,00000,Female,73605,11115,47420,15070,2060,72605,11360,48590,12650,2105,70255,11725,47105,11425,1925,69540,13055,45755,10735,1745,100,15.1,64.4,20.5,2.8,100,15.6,66.9,17.4,2.9,100,16.7,67,16.3,2.7,100,18.8,65.8,15.4,2.5,1.4,-2.2,-2.4,19.1,-2.1,4.8,-5.2,0.7,31.9,7,5.8,-14.9,3.6,40.4,18.1
12,Nova Scotia,3.9,00000,Both sexes,923600,133830,605950,183820,21645,921725,138215,630140,153370,20385,913465,146435,628815,138215,18610,908010,165025,616415,126565,15505,100,14.5,65.6,19.9,2.3,100,15,68.4,16.6,2.2,100,16,68.8,15.1,2,100,18.2,67.9,13.9,1.7,0.2,-3.2,-3.8,19.9,6.2,1.1,-8.6,-3.6,33,16.3,1.7,-18.9,-1.7,45.2,39.6
12,Nova Scotia,3.9,00000,Male,446885,68370,295105,83415,7135,445585,70780,306885,67925,6280,439830,74500,305915,59415,5560,439090,84165,301690,53235,4575,100,15.3,66,18.7,1.6,100,15.9,68.9,15.2,1.4,100,16.9,69.6,13.5,1.3,100,19.2,68.7,12.1,1,0.3,-3.4,-3.8,22.8,13.6,1.6,-8.2,-3.5,40.4,28.3,1.8,-18.8,-2.2,56.7,56
