Geographic code,Geographic name,Geographic Type,"Geographic Name, province or territory","Geographic Code, province or territory",Global non-response rate,Data quality flag,Sex,Total (2016 Counts),Broad Age Groups: 0 to 14 (2016 Counts),Broad Age Groups: 15 to 64 (2016 Counts),Broad Age Groups: 65 years and over (2016 Counts),Broad Age Groups: 85 years and over (2016 Counts),Total (2011 Counts),Broad Age Groups: 0 to 14 (2011 Counts),Broad Age Groups: 15 to 64 (2011 Counts),Broad Age Groups: 65 years and over (2011 Counts),Broad Age Groups: 85 years and over (2011 Counts),Total (2006 Counts),Broad Age Groups: 0 to 14 (2006 Counts),Broad Age Groups: 15 to 64 (2006 Counts),Broad Age Groups: 65 years and over (2006 Counts),Broad Age Groups: 85 years and over (2006 Counts),Total (% Distribution 2016),Broad Age Groups: 0 to 14 (% Distribution 2016) ,Broad Age Groups: 15 to 64 (% Distribution 2016),Broad Age Groups: 65 years and over (% Distribution 2016),Broad Age Groups: 85 years and over (% Distribution 2016),Total (% Distribution 2011),Broad Age Groups: 0 to 14 (% Distribution 2011) ,Broad Age Groups: 15 to 64 (% Distribution 2011),Broad Age Groups: 65 years and over (% Distribution 2011),Broad Age Groups: 85 years and over (% Distribution 2011),Total (% Distribution 2006),Broad Age Groups: 0 to 14 (% Distribution 2006) ,Broad Age Groups: 15 to 64 (% Distribution 2006),Broad Age Groups: 65 years and over (% Distribution 2006),Broad Age Groups: 85 years and over (% Distribution 2006),Total (Percent Change 2011 to 2016),Broad Age Groups: 0 to 14 (Percent Change 2011 to 2016),Broad Age Groups: 15 to 64 (Percent Change 2011 to 2016),Broad Age Groups: 65 years and over (Percent Change 2011 to 2016),Broad Age Groups: 85 years and over (Percent Change 2011 to 2016),Total (Percent Change 2006 to 2016),Broad Age Groups: 0 to 14 (Percent Change 2006 to 2016),Broad Age Groups: 15 to 64 (Percent Change 2006 to 2016),Broad Age Groups: 65 years and over (Percent Change 2006 to 2016),Broad Age Groups: 85 years and over (Percent Change 2006 to 2016)
1001,Division No.  1,Census division,Newfoundland and Labrador,10,3.7,00000,Both sexes,270350,40630,183680,46040,4300,262410,40080,184715,37615,4205,248420,38915,177900,31605,3855,100,15,67.9,17,1.6,100,15.3,70.4,14.3,1.6,100,15.7,71.6,12.7,1.6,3,1.4,-0.6,22.4,2.3,8.8,4.4,3.2,45.7,11.5
1001,Division No.  1,Census division,Newfoundland and Labrador,10,3.7,00000,Male,131475,20760,89725,20995,1350,126920,20510,89810,16605,1250,119600,19890,86100,13610,1075,100,15.8,68.2,16,1,100,16.2,70.8,13.1,1,100,16.6,72,11.4,0.9,3.6,1.2,-0.1,26.4,8,9.9,4.4,4.2,54.3,25.6
1001,Division No.  1,Census division,Newfoundland and Labrador,10,3.7,00000,Female,138875,19865,93955,25050,2950,135490,19570,94910,21010,2950,128815,19025,91795,17995,2780,100,14.3,67.7,18,2.1,100,14.4,70,15.5,2.2,100,14.8,71.3,14,2.2,2.5,1.5,-1,19.2,0,7.8,4.4,2.4,39.2,6.1
1002,Division No.  2,Census division,Newfoundland and Labrador,10,4.2,00000,Both sexes,20370,2545,13110,4725,420,21350,2975,14750,3625,365,22300,3365,15895,3035,315,100,12.5,64.4,23.2,2.1,100,13.9,69.1,17,1.7,100,15.1,71.3,13.6,1.4,-4.6,-14.5,-11.1,30.3,15.1,-8.7,-24.4,-17.5,55.7,33.3
1002,Division No.  2,Census division,Newfoundland and Labrador,10,4.2,00000,Male,10095,1320,6525,2250,150,10585,1520,7350,1715,120,10985,1735,7920,1340,100,100,13.1,64.6,22.3,1.5,100,14.4,69.4,16.2,1.1,100,15.8,72.1,12.2,0.9,-4.6,-13.2,-11.2,31.2,25,-8.1,-23.9,-17.6,67.9,50
1002,Division No.  2,Census division,Newfoundland and Labrador,10,4.2,00000,Female,10275,1220,6585,2475,265,10765,1455,7400,1905,245,11310,1630,7985,1695,220,100,11.9,64.1,24.1,2.6,100,13.5,68.7,17.7,2.3,100,14.4,70.6,15,1.9,-4.6,-16.2,-11,29.9,8.2,-9.2,-25.2,-17.5,46,20.5
1003,Division No.  3,Census division,Newfoundland and Labrador,10,4.3,00000,Both sexes,15560,1840,10045,3670,310,16310,2155,11240,2915,235,17685,2500,12545,2640,220,100,11.8,64.6,23.6,2,100,13.2,68.9,17.9,1.4,100,14.1,70.9,14.9,1.2,-4.6,-14.6,-10.6,25.9,31.9,-12,-26.4,-19.9,39,40.9
1003,Division No.  3,Census division,Newfoundland and Labrador,10,4.3,00000,Male,7615,940,4980,1700,110,8035,1110,5605,1315,80,8680,1290,6210,1175,75,100,12.3,65.4,22.3,1.4,100,13.8,69.8,16.4,1,100,14.9,71.5,13.5,0.9,-5.2,-15.3,-11.2,29.3,37.5,-12.3,-27.1,-19.8,44.7,46.7
1003,Division No.  3,Census division,Newfoundland and Labrador,10,4.3,00000,Female,7945,900,5060,1970,200,8275,1045,5630,1600,155,9005,1210,6330,1465,145,100,11.3,63.7,24.8,2.5,100,12.6,68,19.3,1.9,100,13.4,70.3,16.3,1.6,-4,-13.9,-10.1,23.1,29,-11.8,-25.6,-20.1,34.5,37.9
1004,Division No.  4,Census division,Newfoundland and Labrador,10,4.2,00000,Both sexes,20385,2635,12915,4840,430,20840,2820,14050,3970,385,21170,3205,14450,3510,350,100,12.9,63.4,23.7,2.1,100,13.5,67.4,19,1.8,100,15.1,68.3,16.6,1.7,-2.2,-6.6,-8.1,21.9,11.7,-3.7,-17.8,-10.6,37.9,22.9
1004,Division No.  4,Census division,Newfoundland and Labrador,10,4.2,00000,Male,9960,1340,6245,2375,180,10165,1420,6855,1885,135,10410,1690,7075,1640,100,100,13.5,62.7,23.8,1.8,100,14,67.4,18.5,1.3,100,16.2,68,15.8,1,-2,-5.6,-8.9,26,33.3,-4.3,-20.7,-11.7,44.8,80
1004,Division No.  4,Census division,Newfoundland and Labrador,10,4.2,00000,Female,10425,1290,6670,2460,255,10675,1395,7200,2080,250,10760,1520,7375,1865,255,100,12.4,64,23.6,2.4,100,13.1,67.4,19.5,2.3,100,14.1,68.5,17.3,2.4,-2.3,-7.5,-7.4,18.3,2,-3.1,-15.1,-9.6,31.9,0
1005,Division No.  5,Census division,Newfoundland and Labrador,10,4.7,00000,Both sexes,42015,5740,27140,9130,975,41000,5985,27745,7270,735,40805,6280,28220,6300,645,100,13.7,64.6,21.7,2.3,100,14.6,67.7,17.7,1.8,100,15.4,69.2,15.4,1.6,2.5,-4.1,-2.2,25.6,32.7,3,-8.6,-3.8,44.9,51.2
1005,Division No.  5,Census division,Newfoundland and Labrador,10,4.7,00000,Male,20375,2960,13110,4300,365,19745,3035,13345,3370,270,19660,3165,13630,2865,200,100,14.5,64.3,21.1,1.8,100,15.4,67.6,17.1,1.4,100,16.1,69.3,14.6,1,3.2,-2.5,-1.8,27.6,35.2,3.6,-6.5,-3.8,50.1,82.5
1005,Division No.  5,Census division,Newfoundland and Labrador,10,4.7,00000,Female,21640,2780,14035,4825,610,21260,2945,14410,3910,465,21145,3110,14595,3440,445,100,12.8,64.9,22.3,2.8,100,13.9,67.8,18.4,2.2,100,14.7,69,16.3,2.1,1.8,-5.6,-2.6,23.4,31.2,2.3,-10.6,-3.8,40.3,37.1
1006,Division No.  6,Census division,Newfoundland and Labrador,10,4.4,00000,Both sexes,38345,5515,24580,8250,810,37305,5805,24810,6690,715,36210,5730,24785,5690,605,100,14.4,64.1,21.5,2.1,100,15.6,66.5,17.9,1.9,100,15.8,68.4,15.7,1.7,2.8,-5,-0.9,23.3,13.3,5.9,-3.8,-0.8,45,33.9
1006,Division No.  6,Census division,Newfoundland and Labrador,10,4.4,00000,Male,18495,2810,11900,3785,305,18000,3020,11960,3025,250,17430,2920,11930,2575,190,100,15.2,64.3,20.5,1.6,100,16.8,66.4,16.8,1.4,100,16.8,68.4,14.8,1.1,2.8,-7,-0.5,25.1,22,6.1,-3.8,-0.3,47,60.5
1006,Division No.  6,Census division,Newfoundland and Labrador,10,4.4,00000,Female,19850,2705,12685,4460,505,19300,2785,12855,3665,465,18780,2805,12855,3120,415,100,13.6,63.9,22.5,2.5,100,14.4,66.6,19,2.4,100,14.9,68.5,16.6,2.2,2.8,-2.9,-1.3,21.7,8.6,5.7,-3.6,-1.3,42.9,21.7
1007,Division No.  7,Census division,Newfoundland and Labrador,10,3.7,00000,Both sexes,34090,4325,21485,8280,825,34685,4600,23190,6895,775,35500,5000,24255,6250,700,100,12.7,63,24.3,2.4,100,13.3,66.9,19.9,2.2,100,14.1,68.3,17.6,2,-1.7,-6,-7.4,20.1,6.5,-4,-13.5,-11.4,32.5,17.9
1007,Division No.  7,Census division,Newfoundland and Labrador,10,3.7,00000,Male,16755,2275,10565,3915,290,17045,2370,11475,3200,275,17400,2595,11940,2865,235,100,13.6,63.1,23.4,1.7,100,13.9,67.3,18.8,1.6,100,14.9,68.6,16.5,1.4,-1.7,-4,-7.9,22.3,5.5,-3.7,-12.3,-11.5,36.6,23.4
1007,Division No.  7,Census division,Newfoundland and Labrador,10,3.7,00000,Female,17335,2050,10920,4365,535,17640,2230,11715,3695,500,18100,2405,12320,3385,470,100,11.8,63,25.2,3.1,100,12.6,66.4,20.9,2.8,100,13.3,68.1,18.7,2.6,-1.7,-8.1,-6.8,18.1,7,-4.2,-14.8,-11.4,29,13.8
