Geographic code,Geographic name,Geographic Type,"Geographic Name, province or territory","Geographic Code, province or territory",Additional province code,Global non-response rate,Data quality flag,Sex,Total (2016 Counts),Broad Age Groups: 0 to 14 (2016 Counts),Broad Age Groups: 15 to 64 (2016 Counts),Broad Age Groups: 65 years and over (2016 Counts),Broad Age Groups: 85 years and over (2016 Counts),Total (2011 Counts),Broad Age Groups: 0 to 14 (2011 Counts),Broad Age Groups: 15 to 64 (2011 Counts),Broad Age Groups: 65 years and over (2011 Counts),Broad Age Groups: 85 years and over (2011 Counts),Total (2006 Counts),Broad Age Groups: 0 to 14 (2006 Counts),Broad Age Groups: 15 to 64 (2006 Counts),Broad Age Groups: 65 years and over (2006 Counts),Broad Age Groups: 85 years and over (2006 Counts),Total (2001 Counts),Broad Age Groups: 0 to 14 (2001 Counts),Broad Age Groups: 15 to 64 (2001 Counts),Broad Age Groups: 65 years and over (2001 Counts),Broad Age Groups: 85 years and over (2001 Counts),Total (% Distribution 2016),Broad Age Groups: 0 to 14 (% Distribution 2016) ,Broad Age Groups: 15 to 64 (% Distribution 2016),Broad Age Groups: 65 years and over (% Distribution 2016),Broad Age Groups: 85 years and over (% Distribution 2016),Total (% Distribution 2011),Broad Age Groups: 0 to 14 (% Distribution 2011) ,Broad Age Groups: 15 to 64 (% Distribution 2011),Broad Age Groups: 65 years and over (% Distribution 2011),Broad Age Groups: 85 years and over (% Distribution 2011),Total (% Distribution 2006),Broad Age Groups: 0 to 14 (% Distribution 2006) ,Broad Age Groups: 15 to 64 (% Distribution 2006),Broad Age Groups: 65 years and over (% Distribution 2006),Broad Age Groups: 85 years and over (% Distribution 2006),Total (% Distribution 2001),Broad Age Groups: 0 to 14 (% Distribution 2001) ,Broad Age Groups: 15 to 64 (% Distribution 2001),Broad Age Groups: 65 years and over (% Distribution 2001),Broad Age Groups: 85 years and over (% Distribution 2001),Total (Percent Change 2011 to 2016),Broad Age Groups: 0 to 14 (Percent Change 2011 to 2016),Broad Age Groups: 15 to 64 (Percent Change 2011 to 2016),Broad Age Groups: 65 years and over (Percent Change 2011 to 2016),Broad Age Groups: 85 years and over (Percent Change 2011 to 2016),Total (Percent Change 2006 to 2016),Broad Age Groups: 0 to 14 (Percent Change 2006 to 2016),Broad Age Groups: 15 to 64 (Percent Change 2006 to 2016),Broad Age Groups: 65 years and over (Percent Change 2006 to 2016),Broad Age Groups: 85 years and over (Percent Change 2006 to 2016),Total (Percent Change 2001 to 2016),Broad Age Groups: 0 to 14 (Percent Change 2001 to 2016),Broad Age Groups: 15 to 64 (Percent Change 2001 to 2016),Broad Age Groups: 65 years and over (Percent Change 2001 to 2016),Broad Age Groups: 85 years and over (Percent Change 2001 to 2016)
001,St. John's,CMA,Newfoundland and Labrador,10, ,3.5,00000,Both sexes,205955,32460,142940,30555,3060,196965,31245,140665,25055,2930,181110,29280,131070,20765,2555,172915,30550,123915,18460,2135,100,15.8,69.4,14.8,1.5,100,15.9,71.4,12.7,1.5,100,16.2,72.4,11.5,1.4,100,17.7,71.7,10.7,1.2,4.6,3.9,1.6,22,4.4,13.7,10.9,9.1,47.1,19.8,19.1,6.3,15.4,65.5,43.3
001,St. John's,CMA,Newfoundland and Labrador,10, ,3.5,00000,Male,99875,16650,69650,13580,960,94730,16000,68025,10710,855,86650,15005,62970,8670,675,82775,15560,59845,7370,530,100,16.7,69.7,13.6,1,100,16.9,71.8,11.3,0.9,100,17.3,72.7,10,0.8,100,18.8,72.3,8.9,0.6,5.4,4.1,2.4,26.8,12.3,15.3,11,10.6,56.6,42.2,20.7,7,16.4,84.3,81.1
001,St. John's,CMA,Newfoundland and Labrador,10, ,3.5,00000,Female,106080,15810,73290,16975,2095,102230,15250,72635,14345,2080,94465,14275,68100,12090,1885,90140,14990,64070,11085,1605,100,14.9,69.1,16,2,100,14.9,71.1,14,2,100,15.1,72.1,12.8,2,100,16.6,71.1,12.3,1.8,3.8,3.7,0.9,18.3,0.7,12.3,10.8,7.6,40.4,11.1,17.7,5.5,14.4,53.1,30.5
005,Bay Roberts,CA,Newfoundland and Labrador,10, ,3.5,00000,Both sexes,11080,1765,7140,2185,145,10870,1835,7330,1705,135,10510,1755,7330,1420,135,10530,1905,7355,1275,90,100,15.9,64.4,19.7,1.3,100,16.9,67.4,15.7,1.2,100,16.7,69.7,13.5,1.3,100,18.1,69.8,12.1,0.9,1.9,-3.8,-2.6,28.2,7.4,5.4,0.6,-2.6,53.9,7.4,5.2,-7.3,-2.9,71.4,61.1
005,Bay Roberts,CA,Newfoundland and Labrador,10, ,3.5,00000,Male,5365,870,3480,1020,50,5350,955,3580,815,50,5115,915,3555,640,40,5215,995,3635,585,35,100,16.2,64.9,19,0.9,100,17.9,66.9,15.2,0.9,100,17.9,69.5,12.5,0.8,100,19.1,69.7,11.2,0.7,0.3,-8.9,-2.8,25.2,0,4.9,-4.9,-2.1,59.4,25,2.9,-12.6,-4.3,74.4,42.9
005,Bay Roberts,CA,Newfoundland and Labrador,10, ,3.5,00000,Female,5715,895,3660,1165,90,5520,875,3750,890,80,5395,840,3775,780,95,5320,905,3720,690,55,100,15.7,64,20.4,1.6,100,15.9,67.9,16.1,1.4,100,15.6,70,14.5,1.8,100,17,69.9,13,1,3.5,2.3,-2.4,30.9,12.5,5.9,6.5,-3,49.4,-5.3,7.4,-1.1,-1.6,68.8,63.6
010,Grand Falls-Windsor,CA,Newfoundland and Labrador,10, ,4.1,00000,Both sexes,14170,2060,9090,3020,305,13725,2120,9070,2535,280,13560,2150,9280,2130,230,13340,2250,9220,1870,200,100,14.5,64.1,21.3,2.2,100,15.4,66.1,18.5,2,100,15.9,68.4,15.7,1.7,100,16.9,69.1,14,1.5,3.2,-2.8,0.2,19.1,8.9,4.5,-4.2,-2,41.8,32.6,6.2,-8.4,-1.4,61.5,52.5
010,Grand Falls-Windsor,CA,Newfoundland and Labrador,10, ,4.1,00000,Male,6730,1025,4370,1335,115,6515,1095,4315,1105,100,6420,1095,4400,930,70,6425,1165,4440,820,55,100,15.2,64.9,19.8,1.7,100,16.8,66.2,17,1.5,100,17.1,68.5,14.5,1.1,100,18.1,69.1,12.8,0.9,3.3,-6.4,1.3,20.8,15,4.8,-6.4,-0.7,43.5,64.3,4.7,-12,-1.6,62.8,109.1
010,Grand Falls-Windsor,CA,Newfoundland and Labrador,10, ,4.1,00000,Female,7445,1040,4715,1685,190,7205,1025,4755,1430,180,7140,1055,4880,1200,165,6910,1085,4780,1050,140,100,14,63.3,22.6,2.6,100,14.2,66,19.8,2.5,100,14.8,68.3,16.8,2.3,100,15.7,69.2,15.2,2,3.3,1.5,-0.8,17.8,5.6,4.3,-1.4,-3.4,40.4,15.2,7.7,-4.1,-1.4,60.5,35.7
011,Gander,CA,Newfoundland and Labrador,10, ,3.2,00000,Both sexes,13235,2175,8650,2410,290,12685,2225,8560,1895,240,11620,1990,7960,1670,210,11255,1970,7915,1365,130,100,16.4,65.4,18.2,2.2,100,17.5,67.5,14.9,1.9,100,17.1,68.5,14.4,1.8,100,17.5,70.3,12.1,1.2,4.3,-2.2,1.1,27.2,20.8,13.9,9.3,8.7,44.3,38.1,17.6,10.4,9.3,76.6,123.1
011,Gander,CA,Newfoundland and Labrador,10, ,3.2,00000,Male,6385,1140,4160,1085,100,6115,1165,4130,820,80,5580,1020,3835,725,75,5505,1000,3890,610,50,100,17.9,65.2,17,1.6,100,19.1,67.5,13.4,1.3,100,18.3,68.7,13,1.3,100,18.2,70.7,11.1,0.9,4.4,-2.1,0.7,32.3,25,14.4,11.8,8.5,49.7,33.3,16,14,6.9,77.9,100
011,Gander,CA,Newfoundland and Labrador,10, ,3.2,00000,Female,6850,1030,4490,1325,190,6570,1065,4430,1075,160,6040,970,4120,945,140,5750,970,4025,755,85,100,15,65.5,19.3,2.8,100,16.2,67.4,16.4,2.4,100,16.1,68.2,15.6,2.3,100,16.9,70,13.1,1.5,4.3,-3.3,1.4,23.3,18.8,13.4,6.2,9,40.2,35.7,19.1,6.2,11.6,75.5,123.5
015,Corner Brook,CA,Newfoundland and Labrador,10, ,4.7,00000,Both sexes,31915,4365,20805,6745,760,31415,4620,21375,5420,570,31060,4775,21550,4735,505,30505,5050,21230,4220,370,100,13.7,65.2,21.1,2.4,100,14.7,68,17.3,1.8,100,15.4,69.4,15.2,1.6,100,16.6,69.6,13.8,1.2,1.6,-5.5,-2.7,24.4,33.3,2.8,-8.6,-3.5,42.4,50.5,4.6,-13.6,-2,59.8,105.4
015,Corner Brook,CA,Newfoundland and Labrador,10, ,4.7,00000,Male,15420,2260,10020,3145,275,15055,2320,10270,2460,200,14890,2410,10405,2085,150,14715,2595,10265,1855,115,100,14.7,65,20.4,1.8,100,15.4,68.2,16.3,1.3,100,16.2,69.9,14,1,100,17.6,69.8,12.6,0.8,2.4,-2.6,-2.4,27.8,37.5,3.6,-6.2,-3.7,50.8,83.3,4.8,-12.9,-2.4,69.5,139.1
015,Corner Brook,CA,Newfoundland and Labrador,10, ,4.7,00000,Female,16500,2105,10790,3600,485,16360,2295,11105,2955,370,16165,2365,11145,2650,355,15790,2455,10975,2365,255,100,12.8,65.4,21.8,2.9,100,14,67.9,18.1,2.3,100,14.6,68.9,16.4,2.2,100,15.5,69.5,15,1.6,0.9,-8.3,-2.8,21.8,31.1,2.1,-11,-3.2,35.8,36.6,4.5,-14.3,-1.7,52.2,90.2
105,Charlottetown,CA,Prince Edward Island,11, ,4.2,00000,Both sexes,69325,11320,45875,12130,1435,65525,10705,45080,9745,1370,60475,10325,41615,8535,1205,59175,11230,40175,7775,1090,100,16.3,66.2,17.5,2.1,100,16.3,68.8,14.9,2.1,100,17.1,68.8,14.1,2,100,19,67.9,13.1,1.8,5.8,5.7,1.8,24.5,4.7,14.6,9.6,10.2,42.1,19.1,17.2,0.8,14.2,56,31.7
105,Charlottetown,CA,Prince Edward Island,11, ,4.2,00000,Male,33155,5780,22080,5290,430,31090,5440,21585,4075,350,28615,5265,19850,3500,305,28115,5740,19295,3080,295,100,17.4,66.6,16,1.3,100,17.5,69.4,13.1,1.1,100,18.4,69.4,12.2,1.1,100,20.4,68.6,11,1,6.6,6.3,2.3,29.8,22.9,15.9,9.8,11.2,51.1,41,17.9,0.7,14.4,71.8,45.8
105,Charlottetown,CA,Prince Edward Island,11, ,4.2,00000,Female,36165,5540,23795,6840,1010,34430,5265,23495,5675,1020,31855,5060,21765,5035,905,31060,5485,20880,4695,790,100,15.3,65.8,18.9,2.8,100,15.3,68.2,16.5,3,100,15.9,68.3,15.8,2.8,100,17.7,67.2,15.1,2.5,5,5.2,1.3,20.5,-1,13.5,9.5,9.3,35.8,11.6,16.4,1,14,45.7,27.8
110,Summerside,CA,Prince Edward Island,11, ,3.9,00000,Both sexes,16585,2635,10310,3650,470,16490,2795,10685,3010,445,16155,2865,10555,2725,400,16200,3100,10645,2450,360,100,15.9,62.2,22,2.8,100,16.9,64.8,18.3,2.7,100,17.7,65.3,16.9,2.5,100,19.1,65.7,15.1,2.2,0.6,-5.7,-3.5,21.3,5.6,2.7,-8,-2.3,33.9,17.5,2.4,-15,-3.1,49,30.6
110,Summerside,CA,Prince Edward Island,11, ,3.9,00000,Male,7885,1325,4965,1595,175,7780,1420,5080,1280,140,7665,1480,5045,1140,105,7685,1595,5140,950,90,100,16.8,63,20.2,2.2,100,18.3,65.3,16.5,1.8,100,19.3,65.8,14.9,1.4,100,20.8,66.9,12.4,1.2,1.3,-6.7,-2.3,24.6,25,2.9,-10.5,-1.6,39.9,66.7,2.6,-16.9,-3.4,67.9,94.4
