Geographic code,Geographic name,"Geographic Name, province or territory","Geographic Code, province or territory",Global non-response rate,Data quality flag,Sex,Total (2016 Counts),Broad Age Groups: 0 to 14 (2016 Counts),Broad Age Groups: 15 to 64 (2016 Counts),Broad Age Groups: 65 years and over (2016 Counts),Broad Age Groups: 85 years and over (2016 Counts),Total (2011 Counts),Broad Age Groups: 0 to 14 (2011 Counts),Broad Age Groups: 15 to 64 (2011 Counts),Broad Age Groups: 65 years and over (2011 Counts),Broad Age Groups: 85 years and over (2011 Counts),Total (% Distribution 2016),Broad Age Groups: 0 to 14 (% Distribution 2016) ,Broad Age Groups: 15 to 64 (% Distribution 2016),Broad Age Groups: 65 years and over (% Distribution 2016),Broad Age Groups: 85 years and over (% Distribution 2016),Total (% Distribution 2011),Broad Age Groups: 0 to 14 (% Distribution 2011) ,Broad Age Groups: 15 to 64 (% Distribution 2011),Broad Age Groups: 65 years and over (% Distribution 2011),Broad Age Groups: 85 years and over (% Distribution 2011),Total (Percent Change 2011 to 2016),Broad Age Groups: 0 to 14 (Percent Change 2011 to 2016),Broad Age Groups: 15 to 64 (Percent Change 2011 to 2016),Broad Age Groups: 65 years and over (Percent Change 2011 to 2016),Broad Age Groups: 85 years and over (Percent Change 2011 to 2016)
1010,Avalon Peninsula,Newfoundland and Labrador,10,3.7,00000,Both sexes,270350,40630,183680,46040,4305,262410,40075,184720,37615,4205,100,15,67.9,17,1.6,100,15.3,70.4,14.3,1.6,3,1.4,-0.6,22.4,2.4
1010,Avalon Peninsula,Newfoundland and Labrador,10,3.7,00000,Male,131475,20760,89725,20990,1355,126920,20510,89810,16600,1250,100,15.8,68.2,16,1,100,16.2,70.8,13.1,1,3.6,1.2,-0.1,26.4,8.4
1010,Avalon Peninsula,Newfoundland and Labrador,10,3.7,00000,Female,138875,19865,93950,25045,2950,135490,19570,94910,21010,2950,100,14.3,67.7,18,2.1,100,14.4,70,15.5,2.2,2.5,1.5,-1,19.2,0
1020,South Coast--Burin Peninsula,Newfoundland and Labrador,10,4.2,00000,Both sexes,35935,4385,23155,8395,725,37660,5130,25990,6540,600,100,12.2,64.4,23.4,2,100,13.6,69,17.4,1.6,-4.6,-14.5,-10.9,28.4,20.8
1020,South Coast--Burin Peninsula,Newfoundland and Labrador,10,4.2,00000,Male,17710,2260,11505,3950,260,18620,2635,12955,3030,200,100,12.8,65,22.3,1.5,100,14.2,69.6,16.3,1.1,-4.9,-14.2,-11.2,30.4,30
1020,South Coast--Burin Peninsula,Newfoundland and Labrador,10,4.2,00000,Female,18220,2125,11650,4450,465,19035,2500,13035,3505,400,100,11.7,63.9,24.4,2.6,100,13.1,68.5,18.4,2.1,-4.3,-15,-10.6,27,16.3
1030,West Coast--Northern Peninsula--Labrador,Newfoundland and Labrador,10,4.7,00000,Both sexes,105205,15480,69030,20695,1905,105360,16275,72450,16635,1550,100,14.7,65.6,19.7,1.8,100,15.4,68.8,15.8,1.5,-0.1,-4.9,-4.7,24.4,22.9
1030,West Coast--Northern Peninsula--Labrador,Newfoundland and Labrador,10,4.7,00000,Male,51755,7975,33830,9950,720,51640,8310,35435,7895,545,100,15.4,65.4,19.2,1.4,100,16.1,68.6,15.3,1.1,0.2,-4,-4.5,26,32.1
1030,West Coast--Northern Peninsula--Labrador,Newfoundland and Labrador,10,4.7,00000,Female,53450,7510,35200,10745,1185,53720,7970,37015,8740,1005,100,14.1,65.9,20.1,2.2,100,14.8,68.9,16.3,1.9,-0.5,-5.8,-4.9,22.9,17.9
1040,Notre Dame--Central Bonavista Bay,Newfoundland and Labrador,10,4.2,00000,Both sexes,108230,13945,68385,25900,2425,109110,15145,72650,21320,2200,100,12.9,63.2,23.9,2.2,100,13.9,66.6,19.5,2,-0.8,-7.9,-5.9,21.5,10.2
