"Geographic code","Geographic name","Global non-response rate","Data quality flag","Year","Household type - Total - Private households (Counts)","Household type - Total - Private households (% Distribution)","Household type - One-census-family households without additional persons - Couple census families - Without children (Counts)","Household type - One-census-family households without additional persons - Couple census families - Without children (% Distribution)","Household type - One-census-family households without additional persons - Couple census families - With children (Counts)","Household type - One-census-family households without additional persons - Couple census families - With children (% Distribution)","Household type - One-census-family households without additional persons - Lone parent (Counts)","Household type - One-census-family households without additional persons - Lone parent (% Distribution)","Household type - Multigenerational households (Counts)","Household type - Multigenerational households (% Distribution)","Household type - Other census family households (Counts)","Household type - Other census family households (% Distribution)","Household type - Non-census family households of two or more persons (Counts)","Household type - Non-census family households of two or more persons (% Distribution)","Household type - One-person households (Counts)","Household type - One-person households (% Distribution)"
"01","Canada","4.0","20000","2016","14072080","100","3627180","25.8","3728380","26.5","1250185","8.9","403810","2.9","510380","3.6","582345","4.1","3969790","28.2"
"01","Canada","4.0","20000","2011","13320615","100","3394480","25.5","3673380","27.6","1190815","8.9","361770","2.7","483520","3.6","543340","4.1","3673305","27.6"
"01","Canada","4.0","20000","2006","12437465","100","3122715","25.1","3680075","29.6","1111900","8.9","329780","2.7","406860","3.3","459085","3.7","3327050","26.8"
"01","Canada","4.0","20000","2001","11562975","100","2799550","24.2","3639915","31.5","1033325","8.9","293745","2.5","389030","3.4","430535","3.7","2976880","25.7"
"10","Newfoundland and Labrador","4.0","00000","2016","218675","100","70645","32.3","56410","25.8","19230","8.8","4870","2.2","6360","2.9","7405","3.4","53755","24.6"
"10","Newfoundland and Labrador","4.0","00000","2011","208840","100","64765","31","59575","28.5","19035","9.1","5485","2.6","6660","3.2","6995","3.3","46325","22.2"
"10","Newfoundland and Labrador","4.0","00000","2006","197185","100","56850","28.8","64280","32.6","18790","9.5","5960","3","6155","3.1","5325","2.7","39830","20.2"
"10","Newfoundland and Labrador","4.0","00000","2001","189045","100","48875","25.9","71080","37.6","17925","9.5","6320","3.3","6270","3.3","4515","2.4","34060","18"
"11","Prince Edward Island","4.1","00000","2016","59470","100","17900","30.1","15345","25.8","5280","8.9","1020","1.7","1410","2.4","2220","3.7","16295","27.4"
"11","Prince Edward Island","4.1","00000","2011","56460","100","16280","28.8","16055","28.4","5365","9.5","1005","1.8","1445","2.6","2120","3.8","14195","25.1"
