"Geographic code","Geographic name","Geographic Type","Geographic Name, province or territory","Geographic Code, province or territory","Global non-response rate","Data quality flag","Year","Household type - Total - Private households (Counts)","Household type - Total - Private households (% Distribution)","Household type - One-census-family households without additional persons - Couple census families - Without children (Counts)","Household type - One-census-family households without additional persons - Couple census families - Without children (% Distribution)","Household type - One-census-family households without additional persons - Couple census families - With children (Counts)","Household type - One-census-family households without additional persons - Couple census families - With children (% Distribution)","Household type - One-census-family households without additional persons - Lone parent (Counts)","Household type - One-census-family households without additional persons - Lone parent (% Distribution)","Household type - Multigenerational households (Counts)","Household type - Multigenerational households (% Distribution)","Household type - Other census family households (Counts)","Household type - Other census family households (% Distribution)","Household type - Non-census family households of two or more persons (Counts)","Household type - Non-census family households of two or more persons (% Distribution)","Household type - One-person households (Counts)","Household type - One-person households (% Distribution)"
"1001","Division No.  1","Census division","Newfoundland and Labrador","10","3.7","00000","2011","105920","100","28800","27.2","30755","29","10450","9.9","2695","2.5","3360","3.2","4860","4.6","24995","23.6"
"1001","Division No.  1","Census division","Newfoundland and Labrador","10","3.7","00000","2016","112620","100","32085","28.5","30335","26.9","10600","9.4","2480","2.2","3320","2.9","5135","4.6","28660","25.4"
"1002","Division No.  2","Census division","Newfoundland and Labrador","10","4.2","00000","2011","8795","100","3010","34.2","2620","29.8","760","8.6","200","2.3","215","2.4","130","1.5","1870","21.3"
"1002","Division No.  2","Census division","Newfoundland and Labrador","10","4.2","00000","2016","8735","100","3225","36.9","2295","26.3","720","8.2","165","1.9","180","2.1","140","1.6","2015","23.1"
"1003","Division No.  3","Census division","Newfoundland and Labrador","10","4.3","00000","2011","6715","100","2510","37.4","2025","30.2","445","6.6","165","2.5","185","2.8","95","1.4","1290","19.2"
"1003","Division No.  3","Census division","Newfoundland and Labrador","10","4.3","00000","2016","6770","100","2705","40","1680","24.8","450","6.6","160","2.4","160","2.4","110","1.6","1495","22.1"
"1004","Division No.  4","Census division","Newfoundland and Labrador","10","4.2","00000","2011","9055","100","2700","29.8","2005","22.1","1110","12.3","250","2.8","315","3.5","240","2.7","2440","26.9"
"1004","Division No.  4","Census division","Newfoundland and Labrador","10","4.2","00000","2016","9345","100","2885","30.9","1730","18.5","1100","11.8","200","2.1","270","2.9","250","2.7","2905","31.1"
"1005","Division No.  5","Census division","Newfoundland and Labrador","10","4.7","00000","2011","16680","100","5400","32.4","4570","27.4","1570","9.4","510","3.1","570","3.4","435","2.6","3615","21.7"
"1005","Division No.  5","Census division","Newfoundland and Labrador","10","4.7","00000","2016","17890","100","5905","33","4355","24.3","1595","8.9","450","2.5","545","3","495","2.8","4550","25.4"
"1006","Division No.  6","Census division","Newfoundland and Labrador","10","4.4","00000","2011","15455","100","5345","34.6","4215","27.3","1390","9","325","2.1","410","2.7","340","2.2","3435","22.2"
"1006","Division No.  6","Census division","Newfoundland and Labrador","10","4.4","00000","2016","16435","100","5795","35.3","3980","24.2","1445","8.8","310","1.9","435","2.6","370","2.3","4100","24.9"
"1007","Division No.  7","Census division","Newfoundland and Labrador","10","3.7","00000","2011","14295","100","5275","36.9","3830","26.8","1110","7.8","425","3","500","3.5","280","2","2870","20.1"
"1007","Division No.  7","Census division","Newfoundland and Labrador","10","3.7","00000","2016","14570","100","5695","39.1","3470","23.8","1060","7.3","350","2.4","435","3","275","1.9","3290","22.6"
"1008","Division No.  8","Census division","Newfoundland and Labrador","10","4.4","00000","2011","15420","100","6450","41.8","4255","27.6","965","6.3","285","1.8","395","2.6","215","1.4","2855","18.5"
"1008","Division No.  8","Census division","Newfoundland and Labrador","10","4.4","00000","2016","15585","100","6785","43.5","3690","23.7","980","6.3","215","1.4","335","2.1","225","1.4","3365","21.6"
"1009","Division No.  9","Census division","Newfoundland and Labrador","10","4.7","00000","2011","6835","100","2530","37","1870","27.4","465","6.8","255","3.7","255","3.7","155","2.3","1310","19.2"
"1009","Division No.  9","Census division","Newfoundland and Labrador","10","4.7","00000","2016","6690","100","2660","39.8","1525","22.8","465","7","180","2.7","230","3.4","155","2.3","1475","22"
"1010","Division No. 10","Census division","Newfoundland and Labrador","10","4.0","00000","2011","8875","100","2605","29.4","3145","35.4","700","7.9","305","3.4","375","4.2","220","2.5","1530","17.2"
"1010","Division No. 10","Census division","Newfoundland and Labrador","10","4.0","00000","2016","9190","100","2750","29.9","3050","33.2","730","7.9","300","3.3","370","4","225","2.4","1765","19.2"
"1011","Division No. 11","Census division","Newfoundland and Labrador","10","13.0","01100","2011","805","100","140","17.4","295","36.6","75","9.3","70","8.7","80","9.9","25","3.1","120","14.9"
"1011","Division No. 11","Census division","Newfoundland and Labrador","10","13.0","01100","2016","835","100","160","19.2","300","35.9","85","10.2","65","7.8","65","7.8","20","2.4","135","16.2"
"1101","Kings","County","Prince Edward Island","11","4.1","00000","2011","7175","100","2060","28.7","2035","28.4","725","10.1","140","2","165","2.3","205","2.9","1840","25.6"
"1101","Kings","County","Prince Edward Island","11","4.1","00000","2016","7220","100","2285","31.6","1755","24.3","665","9.2","130","1.8","155","2.1","190","2.6","2045","28.3"
"1102","Queens","County","Prince Edward Island","11","4.2","00000","2011","31410","100","8670","27.6","8950","28.5","2930","9.3","525","1.7","855","2.7","1445","4.6","8040","25.6"
"1102","Queens","County","Prince Edward Island","11","4.2","00000","2016","33975","100","9675","28.5","8950","26.3","2975","8.8","570","1.7","835","2.5","1560","4.6","9405","27.7"
"1103","Prince","County","Prince Edward Island","11","4.0","00000","2011","17880","100","5550","31","5075","28.4","1710","9.6","335","1.9","425","2.4","465","2.6","4315","24.1"
"1103","Prince","County","Prince Edward Island","11","4.0","00000","2016","18275","100","5940","32.5","4640","25.4","1645","9","320","1.8","415","2.3","470","2.6","4840","26.5"
"1201","Shelburne","County","Nova Scotia","12","3.9","00000","2011","6375","100","2170","34","1520","23.8","550","8.6","95","1.5","170","2.7","120","1.9","1750","27.5"
"1201","Shelburne","County","Nova Scotia","12","3.9","00000","2016","6380","100","2260","35.4","1290","20.2","515","8.1","110","1.7","150","2.4","145","2.3","1905","29.9"
"1202","Yarmouth","County","Nova Scotia","12","4.2","00000","2011","10790","100","3375","31.3","2595","24.1","1040","9.6","210","1.9","335","3.1","330","3.1","2905","26.9"
"1202","Yarmouth","County","Nova Scotia","12","4.2","00000","2016","10800","100","3600","33.3","2270","21","970","9","180","1.7","305","2.8","305","2.8","3175","29.4"
"1203","Digby","County","Nova Scotia","12","4.2","00000","2011","7990","100","2695","33.7","1685","21.1","690","8.6","130","1.6","250","3.1","210","2.6","2325","29.1"
"1203","Digby","County","Nova Scotia","12","4.2","00000","2016","8040","100","2850","35.4","1485","18.5","625","7.8","125","1.6","200","2.5","235","2.9","2525","31.4"
"1204","Queens","County","Nova Scotia","12","4.8","00000","2011","4815","100","1755","36.4","1095","22.7","370","7.7","85","1.8","135","2.8","115","2.4","1265","26.3"
"1204","Queens","County","Nova Scotia","12","4.8","00000","2016","4765","100","1765","37","905","19","335","7","80","1.7","120","2.5","120","2.5","1445","30.3"
"1205","Annapolis","County","Nova Scotia","12","4.5","00000","2011","9230","100","3450","37.4","1940","21","705","7.6","120","1.3","215","2.3","230","2.5","2560","27.7"
