"Geographic code","Geographic name","Geographic Type","Geographic Name, province or territory","Geographic Code, province or territory","Geographic code, census division","Geographic code, census metropolitan area or census agglomeration","Global non-response rate","Data quality flag","Year","Household type - Total - Private households (Counts)","Household type - Total - Private households (% Distribution)","Household type - One-census-family households without additional persons - Couple census families - Without children (Counts)","Household type - One-census-family households without additional persons - Couple census families - Without children (% Distribution)","Household type - One-census-family households without additional persons - Couple census families - With children (Counts)","Household type - One-census-family households without additional persons - Couple census families - With children (% Distribution)","Household type - One-census-family households without additional persons - Lone parent (Counts)","Household type - One-census-family households without additional persons - Lone parent (% Distribution)","Household type - Multigenerational households (Counts)","Household type - Multigenerational households (% Distribution)","Household type - Other census family households (Counts)","Household type - Other census family households (% Distribution)","Household type - Non-census family households of two or more persons (Counts)","Household type - Non-census family households of two or more persons (% Distribution)","Household type - One-person households (Counts)","Household type - One-person households (% Distribution)"
"1001409","Bay Roberts","Town","Newfoundland and Labrador","10","01","005","3.2","00000","2011","2245","100","685","30.5","755","33.6","210","9.4","70","3.1","65","2.9","35","1.6","415","18.5"
"1001409","Bay Roberts","Town","Newfoundland and Labrador","10","01","005","3.2","00000","2016","2410","100","775","32.2","735","30.5","230","9.5","65","2.7","45","1.9","35","1.5","525","21.8"
"1001485","Conception Bay South","Town","Newfoundland and Labrador","10","01","001","2.5","00000","2011","9140","100","2635","28.8","3350","36.7","855","9.4","325","3.6","335","3.7","200","2.2","1450","15.9"
"1001485","Conception Bay South","Town","Newfoundland and Labrador","10","01","001","2.5","00000","2016","9935","100","2955","29.7","3450","34.7","880","8.9","320","3.2","315","3.2","245","2.5","1765","17.8"
"1001504","Portugal Cove-St. Philip's","Town","Newfoundland and Labrador","10","01","001","3.0","00000","2011","2690","100","790","29.4","1055","39.2","195","7.2","95","3.5","100","3.7","55","2","395","14.7"
"1001504","Portugal Cove-St. Philip's","Town","Newfoundland and Labrador","10","01","001","3.0","00000","2016","3025","100","915","30.2","1145","37.9","210","6.9","105","3.5","100","3.3","75","2.5","475","15.7"
"1001509","Torbay","Town","Newfoundland and Labrador","10","01","001","2.6","00000","2011","2590","100","630","24.3","1155","44.6","250","9.7","80","3.1","70","2.7","45","1.7","365","14.1"
"1001509","Torbay","Town","Newfoundland and Labrador","10","01","001","2.6","00000","2016","2865","100","720","25.1","1170","40.8","260","9.1","90","3.1","80","2.8","75","2.6","470","16.4"
"1001517","Paradise","Town","Newfoundland and Labrador","10","01","001","2.9","00000","2011","6495","100","1780","27.4","2730","42","470","7.2","135","2.1","200","3.1","195","3","995","15.3"
"1001517","Paradise","Town","Newfoundland and Labrador","10","01","001","2.9","00000","2016","8035","100","2155","26.8","3175","39.5","610","7.6","185","2.3","220","2.7","270","3.4","1420","17.7"
"1001519","St. John's","City","Newfoundland and Labrador","10","01","001","4.0","00000","2011","45025","100","10540","23.4","10550","23.4","4960","11","920","2","1520","3.4","3460","7.7","13080","29.1"
"1001519","St. John's","City","Newfoundland and Labrador","10","01","001","4.0","00000","2016","47625","100","11715","24.6","10480","22","4900","10.3","815","1.7","1490","3.1","3520","7.4","14720","30.9"
"1001542","Mount Pearl","City","Newfoundland and Labrador","10","01","001","3.2","00000","2011","9645","100","2555","26.5","3095","32.1","1070","11.1","245","2.5","295","3.1","345","3.6","2035","21.1"
"1001542","Mount Pearl","City","Newfoundland and Labrador","10","01","001","3.2","00000","2016","9605","100","2825","29.4","2640","27.5","1040","10.8","235","2.4","285","3","325","3.4","2260","23.5"
"1002024","Marystown","Town","Newfoundland and Labrador","10","02","","5.2","00000","2011","2210","100","645","29.2","705","31.9","225","10.2","50","2.3","65","2.9","45","2","475","21.5"
"1002024","Marystown","Town","Newfoundland and Labrador","10","02","","5.2","00000","2016","2210","100","710","32.1","615","27.8","230","10.4","40","1.8","60","2.7","50","2.3","505","22.9"
"1004019","Stephenville","Town","Newfoundland and Labrador","10","04","","3.7","00000","2011","3015","100","750","24.9","600","19.9","445","14.8","65","2.2","100","3.3","105","3.5","945","31.3"
"1004019","Stephenville","Town","Newfoundland and Labrador","10","04","","3.7","00000","2016","3130","100","820","26.2","515","16.5","430","13.7","60","1.9","75","2.4","110","3.5","1120","35.8"
"1005004","Deer Lake","Town","Newfoundland and Labrador","10","05","","4.7","00000","2011","1985","100","655","33","545","27.5","220","11.1","70","3.5","65","3.3","40","2","390","19.6"
"1005004","Deer Lake","Town","Newfoundland and Labrador","10","05","","4.7","00000","2016","2165","100","725","33.5","545","25.2","215","9.9","60","2.8","70","3.2","50","2.3","495","22.9"
"1005018","Corner Brook","City","Newfoundland and Labrador","10","05","015","4.6","00000","2011","8310","100","2415","29.1","2040","24.5","925","11.1","220","2.6","290","3.5","285","3.4","2125","25.6"
"1005018","Corner Brook","City","Newfoundland and Labrador","10","05","015","4.6","00000","2016","8765","100","2550","29.1","1880","21.4","890","10.2","190","2.2","245","2.8","315","3.6","2685","30.6"
"1006009","Gander","Town","Newfoundland and Labrador","10","06","011","2.9","00000","2011","4520","100","1385","30.6","1400","31","395","8.7","55","1.2","120","2.7","120","2.7","1050","23.2"
"1006009","Gander","Town","Newfoundland and Labrador","10","06","011","2.9","00000","2016","4885","100","1530","31.3","1350","27.6","435","8.9","65","1.3","130","2.7","125","2.6","1245","25.5"
"1006017","Grand Falls-Windsor","Town","Newfoundland and Labrador","10","06","010","4.1","00000","2011","5725","100","1870","32.7","1500","26.2","570","10","140","2.4","145","2.5","125","2.2","1370","23.9"
"1006017","Grand Falls-Windsor","Town","Newfoundland and Labrador","10","06","010","4.1","00000","2016","6090","100","1995","32.8","1470","24.1","580","9.5","125","2.1","155","2.5","140","2.3","1625","26.7"
"1007013","Clarenville","Town","Newfoundland and Labrador","10","07","","4.5","00000","2011","2365","100","700","29.6","745","31.5","230","9.7","60","2.5","80","3.4","65","2.7","480","20.3"
