"Geographic code","Geographic name","Global non-response rate","Data quality flag","Age","Mother tongue - Total (2016 counts)","Mother tongue - English (2016 counts)","Mother tongue - French (2016 counts)","Mother tongue - Non-official language (2016 counts)","Mother tongue - English and French (2016 counts)","Mother tongue - English and non-official language (2016 counts)","Mother tongue - French and non-official language (2016 counts)","Mother tongue - English, French and non-official language (2016 counts)","Mother tongue - Total (% distribution (2016))","Mother tongue - English (% distribution (2016))","Mother tongue - French (% distribution (2016))","Mother tongue - Non-official language (% distribution (2016))","Mother tongue - English and French (% distribution (2016))","Mother tongue - English and non-official language (% distribution (2016))","Mother tongue - French and non-official language (% distribution (2016))","Mother tongue - English, French and non-official language (% distribution (2016))","Mother tongue - Total (% change (2011 to 2016))","Mother tongue - English (% change (2011 to 2016))","Mother tongue - French (% change (2011 to 2016))","Mother tongue - Non-official language (% change (2011 to 2016))","Mother tongue - English and French (% change (2011 to 2016))","Mother tongue - English and non-official language (% change (2011 to 2016))","Mother tongue - French and non-official language (% change (2011 to 2016))","Mother tongue - English, French and non-official language (% change (2011 to 2016))","Mother tongue - Total (% change (2006 to 2016))","Mother tongue - English (% change (2006 to 2016))","Mother tongue - French (% change (2006 to 2016))","Mother tongue - Non-official language (% change (2006 to 2016))","Mother tongue - English and French (% change (2006 to 2016))","Mother tongue - English and non-official language (% change (2006 to 2016))","Mother tongue - French and non-official language (% change (2006 to 2016))","Mother tongue - English, French and non-official language (% change (2006 to 2016))"
"01","Canada","4.0","20000","Total","34767255","19460855","7166705","7321060","165325","533260","86145","33900","100","56","20.6","21.1","0.5","1.5","0.2","0.1","5","3.2","1.6","11.5","14.3","34.5","15.7","40.7","11.3","8.8","5.1","19.1","67.6","122.2","98.8","214.2"
"01","Canada","4.0","20000","0 to 14","5833235","3659695","1130775","828010","46395","132520","24065","11780","100","62.7","19.4","14.2","0.8","2.3","0.4","0.2","4.1","2.6","5.5","3.3","21.4","37.7","30.4","54.1","4.6","2.4","4","1.1","82","129.8","136.9","276.4"
"01","Canada","4.0","20000","0 to 4","1896770","1173070","373055","274195","16840","46600","9150","3860","100","61.8","19.7","14.5","0.9","2.5","0.5","0.2","1.1","0.3","0.8","-0.6","12.9","32.2","18","54.4","12.2","10.1","17.9","0.4","79.7","124","128.2","254.1"
"01","Canada","4.0","20000","5 to 9","2016650","1269235","400695","274315","15415","44635","8510","3845","100","62.9","19.9","13.6","0.8","2.2","0.4","0.2","11.5","8.9","17.5","9","35.5","44.3","44.9","61.6","11.5","8.1","16","6.3","93.8","139.2","156.3","355"
"01","Canada","4.0","20000","10 to 14","1919820","1217380","357025","279505","14150","41285","6410","4075","100","63.4","18.6","14.6","0.7","2.2","0.3","0.2","0.1","-1.3","-1","2.1","18.9","37.2","33","47.6","-7.6","-8.8","-16.1","-3","73.3","126.7","126.5","241"
"01","Canada","4.0","20000","15 to 24","4254960","2575730","788055","765770","27125","81105","10740","6435","100","60.5","18.5","18","0.6","1.9","0.3","0.2","-2.2","-4.8","-7.8","10","14.3","38.9","18.3","38.2","1.1","-1.8","-6.7","11.8","82","142.1","110.6","220.9"
"01","Canada","4.0","20000","15 to 19","2020310","1250320","364335","343705","13110","40015","5395","3430","100","61.9","18","17","0.6","2","0.3","0.2","-7","-8.7","-15.4","6.9","8.6","32.6","16.1","33.7","-5.4","-8","-14.5","6.5","72.6","139.4","106.3","239.6"
"01","Canada","4.0","20000","20 to 24","2234640","1325410","423715","422065","14015","41085","5340","3005","100","59.3","19","18.9","0.6","1.8","0.2","0.1","2.5","-0.7","0.1","12.6","20.3","45.5","20.5","43.8","7.9","4.9","1.3","16.6","91.7","144.8","114.5","202"
"01","Canada","4.0","20000","25 to 44","9119745","4934370","1725755","2218240","42775","163795","26020","8800","100","54.1","18.9","24.3","0.5","1.8","0.3","0.1","3.7","1.8","-0.4","9.5","14.5","34.2","10.6","33.4","3.9","0.6","-6.1","15.6","70.1","122.9","78.4","205"
"01","Canada","4.0","20000","45 to 64","9891210","5356310","2153960","2216590","29940","111110","18345","4960","100","54.2","21.8","22.4","0.3","1.1","0.2","0.1","2.3","0.4","-4.2","13.3","3.5","31","15.2","34.4","15","13.7","2.4","30.1","44.1","113.4","96.2","189.2"
