"Geographic code","Geographic name","Geographic Type","Geographic Name, province or territory","Geographic Code, province or territory","Global non-response rate","Data quality flag","Age","Mother tongue - Total (2016 counts)","Mother tongue - English (2016 counts)","Mother tongue - French (2016 counts)","Mother tongue - Non-official language (2016 counts)","Mother tongue - English and French (2016 counts)","Mother tongue - English and non-official language (2016 counts)","Mother tongue - French and non-official language (2016 counts)","Mother tongue - English, French and non-official language (2016 counts)","Mother tongue - Total (% distribution (2016))","Mother tongue - English (% distribution (2016))","Mother tongue - French (% distribution (2016))","Mother tongue - Non-official language (% distribution (2016))","Mother tongue - English and French (% distribution (2016))","Mother tongue - English and non-official language (% distribution (2016))","Mother tongue - French and non-official language (% distribution (2016))","Mother tongue - English, French and non-official language (% distribution (2016))"
"1001","Division No.  1","Census division","Newfoundland and Labrador","10","3.7","00000","Total","268180","258705","1100","7285","330","695","40","30","100","96.5","0.4","2.7","0.1","0.3","0","0"
"1001","Division No.  1","Census division","Newfoundland and Labrador","10","3.7","00000","0 to 14","40570","39135","125","995","100","200","5","10","100","96.5","0.3","2.5","0.2","0.5","0","0"
"1001","Division No.  1","Census division","Newfoundland and Labrador","10","3.7","00000","0 to 4","12520","12015","40","335","35","90","0","0","100","96","0.3","2.7","0.3","0.7","0","0"
"1001","Division No.  1","Census division","Newfoundland and Labrador","10","3.7","00000","5 to 9","14245","13745","45","340","35","70","0","5","100","96.5","0.3","2.4","0.2","0.5","0","0"
"1001","Division No.  1","Census division","Newfoundland and Labrador","10","3.7","00000","10 to 14","13805","13375","40","320","35","40","0","5","100","96.9","0.3","2.3","0.3","0.3","0","0"
"1001","Division No.  1","Census division","Newfoundland and Labrador","10","3.7","00000","15 to 24","30745","29455","80","1035","70","100","5","0","100","95.8","0.3","3.4","0.2","0.3","0","0"
"1001","Division No.  1","Census division","Newfoundland and Labrador","10","3.7","00000","15 to 19","14105","13670","30","335","30","40","0","0","100","96.9","0.2","2.4","0.2","0.3","0","0"
"1001","Division No.  1","Census division","Newfoundland and Labrador","10","3.7","00000","20 to 24","16640","15780","50","700","35","60","5","0","100","94.8","0.3","4.2","0.2","0.4","0","0"
"1001","Division No.  1","Census division","Newfoundland and Labrador","10","3.7","00000","25 to 44","71275","67185","420","3260","95","275","25","5","100","94.3","0.6","4.6","0.1","0.4","0","0"
"1001","Division No.  1","Census division","Newfoundland and Labrador","10","3.7","00000","45 to 64","81165","79315","325","1395","30","90","5","5","100","97.7","0.4","1.7","0","0.1","0","0"
"1001","Division No.  1","Census division","Newfoundland and Labrador","10","3.7","00000","65 and over","44425","43615","145","595","30","35","0","0","100","98.2","0.3","1.3","0.1","0.1","0","0"
"1001","Division No.  1","Census division","Newfoundland and Labrador","10","3.7","00000","65 to 74","28980","28455","100","370","20","25","0","0","100","98.2","0.3","1.3","0.1","0.1","0","0"
"1001","Division No.  1","Census division","Newfoundland and Labrador","10","3.7","00000","75 and over","15445","15160","50","225","5","10","0","0","100","98.2","0.3","1.5","0","0.1","0","0"
"1002","Division No.  2","Census division","Newfoundland and Labrador","10","4.2","00000","Total","20185","20005","55","100","10","10","0","0","100","99.1","0.3","0.5","0","0","0","0"
"1002","Division No.  2","Census division","Newfoundland and Labrador","10","4.2","00000","0 to 14","2540","2520","0","15","5","0","0","0","100","99.2","0","0.6","0.2","0","0","0"
"1002","Division No.  2","Census division","Newfoundland and Labrador","10","4.2","00000","0 to 4","675","665","5","5","0","0","0","0","100","98.5","0.7","0.7","0","0","0","0"
"1002","Division No.  2","Census division","Newfoundland and Labrador","10","4.2","00000","5 to 9","885","875","0","5","5","0","0","0","100","98.9","0","0.6","0.6","0","0","0"
"1002","Division No.  2","Census division","Newfoundland and Labrador","10","4.2","00000","10 to 14","990","985","0","0","0","0","0","0","100","99.5","0","0","0","0","0","0"
"1002","Division No.  2","Census division","Newfoundland and Labrador","10","4.2","00000","15 to 24","1935","1920","5","5","0","0","0","0","100","99.2","0.3","0.3","0","0","0","0"
"1002","Division No.  2","Census division","Newfoundland and Labrador","10","4.2","00000","15 to 19","1100","1090","0","0","5","0","0","0","100","99.1","0","0","0.5","0","0","0"
"1002","Division No.  2","Census division","Newfoundland and Labrador","10","4.2","00000","20 to 24","835","825","5","5","0","0","0","0","100","98.8","0.6","0.6","0","0","0","0"
"1002","Division No.  2","Census division","Newfoundland and Labrador","10","4.2","00000","25 to 44","3855","3795","10","45","0","5","0","0","100","98.4","0.3","1.2","0","0.1","0","0"
"1002","Division No.  2","Census division","Newfoundland and Labrador","10","4.2","00000","45 to 64","7300","7245","20","25","0","5","0","0","100","99.2","0.3","0.3","0","0.1","0","0"
"1002","Division No.  2","Census division","Newfoundland and Labrador","10","4.2","00000","65 and over","4555","4520","15","15","5","0","0","0","100","99.2","0.3","0.3","0.1","0","0","0"
"1002","Division No.  2","Census division","Newfoundland and Labrador","10","4.2","00000","65 to 74","3085","3060","15","10","0","0","0","0","100","99.2","0.5","0.3","0","0","0","0"
"1002","Division No.  2","Census division","Newfoundland and Labrador","10","4.2","00000","75 and over","1475","1465","5","5","5","0","0","0","100","99.3","0.3","0.3","0.3","0","0","0"
"1003","Division No.  3","Census division","Newfoundland and Labrador","10","4.3","00000","Total","15515","15430","25","45","5","10","0","0","100","99.5","0.2","0.3","0","0.1","0","0"
"1003","Division No.  3","Census division","Newfoundland and Labrador","10","4.3","00000","0 to 14","1840","1840","0","5","0","0","0","0","100","100","0","0.3","0","0","0","0"
"1003","Division No.  3","Census division","Newfoundland and Labrador","10","4.3","00000","0 to 4","500","495","0","0","0","0","0","0","100","99","0","0","0","0","0","0"
"1003","Division No.  3","Census division","Newfoundland and Labrador","10","4.3","00000","5 to 9","630","635","0","0","0","0","0","0","100","100.8","0","0","0","0","0","0"
"1003","Division No.  3","Census division","Newfoundland and Labrador","10","4.3","00000","10 to 14","710","710","0","5","0","0","0","0","100","100","0","0.7","0","0","0","0"
"1003","Division No.  3","Census division","Newfoundland and Labrador","10","4.3","00000","15 to 24","1330","1315","5","10","0","0","0","0","100","98.9","0.4","0.8","0","0","0","0"
"1003","Division No.  3","Census division","Newfoundland and Labrador","10","4.3","00000","15 to 19","750","745","0","0","0","0","0","0","100","99.3","0","0","0","0","0","0"
"1003","Division No.  3","Census division","Newfoundland and Labrador","10","4.3","00000","20 to 24","575","570","5","5","0","0","0","0","100","99.1","0.9","0.9","0","0","0","0"
"1003","Division No.  3","Census division","Newfoundland and Labrador","10","4.3","00000","25 to 44","2825","2810","0","10","0","5","0","0","100","99.5","0","0.4","0","0.2","0","0"
"1003","Division No.  3","Census division","Newfoundland and Labrador","10","4.3","00000","45 to 64","5895","5845","15","20","5","5","0","0","100","99.2","0.3","0.3","0.1","0.1","0","0"
"1003","Division No.  3","Census division","Newfoundland and Labrador","10","4.3","00000","65 and over","3625","3615","0","5","0","0","0","0","100","99.7","0","0.1","0","0","0","0"
"1003","Division No.  3","Census division","Newfoundland and Labrador","10","4.3","00000","65 to 74","2390","2380","5","0","0","0","0","0","100","99.6","0.2","0","0","0","0","0"
"1003","Division No.  3","Census division","Newfoundland and Labrador","10","4.3","00000","75 and over","1235","1230","0","5","0","0","0","0","100","99.6","0","0.4","0","0","0","0"
"1004","Division No.  4","Census division","Newfoundland and Labrador","10","4.2","00000","Total","20205","19585","405","120","75","20","0","0","100","96.9","2","0.6","0.4","0.1","0","0"
"1004","Division No.  4","Census division","Newfoundland and Labrador","10","4.2","00000","0 to 14","2630","2580","20","15","15","5","0","0","100","98.1","0.8","0.6","0.6","0.2","0","0"
"1004","Division No.  4","Census division","Newfoundland and Labrador","10","4.2","00000","0 to 4","740","730","0","5","0","5","0","0","100","98.6","0","0.7","0","0.7","0","0"
"1004","Division No.  4","Census division","Newfoundland and Labrador","10","4.2","00000","5 to 9","945","920","10","5","5","0","0","0","100","97.4","1.1","0.5","0.5","0","0","0"
