"Geographic code","Geographic name","Geographic Type","Geographic Name, province or territory","Geographic Code, province or territory","Additional province code","Global non-response rate","Data quality flag","Age","Mother tongue - Total (2016 counts)","Mother tongue - English (2016 counts)","Mother tongue - French (2016 counts)","Mother tongue - Non-official language (2016 counts)","Mother tongue - English and French (2016 counts)","Mother tongue - English and non-official language (2016 counts)","Mother tongue - French and non-official language (2016 counts)","Mother tongue - English, French and non-official language (2016 counts)","Mother tongue - Total (% distribution (2016))","Mother tongue - English (% distribution (2016))","Mother tongue - French (% distribution (2016))","Mother tongue - Non-official language (% distribution (2016))","Mother tongue - English and French (% distribution (2016))","Mother tongue - English and non-official language (% distribution (2016))","Mother tongue - French and non-official language (% distribution (2016))","Mother tongue - English, French and non-official language (% distribution (2016))"
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","Total","204390","195390","970","6995","300","670","40","25","100","95.6","0.5","3.4","0.1","0.3","0","0"
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","0 to 14","32410","31020","125","970","100","195","5","10","100","95.7","0.4","3","0.3","0.6","0","0"
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","0 to 4","10275","9780","40","330","35","90","0","5","100","95.2","0.4","3.2","0.3","0.9","0","0"
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","5 to 9","11365","10890","45","330","35","65","5","5","100","95.8","0.4","2.9","0.3","0.6","0","0"
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","10 to 14","10770","10350","35","310","35","35","5","0","100","96.1","0.3","2.9","0.3","0.3","0","0"
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","15 to 24","24855","23595","75","1015","65","100","5","0","100","94.9","0.3","4.1","0.3","0.4","0","0"
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","15 to 19","10915","10495","25","320","30","40","0","0","100","96.2","0.2","2.9","0.3","0.4","0","0"
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","20 to 24","13940","13095","50","690","35","60","5","0","100","93.9","0.4","4.9","0.3","0.4","0","0"
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","25 to 44","59135","55175","390","3180","90","265","25","5","100","93.3","0.7","5.4","0.2","0.4","0","0"
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","45 to 64","58530","56840","270","1295","25","80","5","5","100","97.1","0.5","2.2","0","0.1","0","0"
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","65 and over","29460","28760","115","535","20","35","0","0","100","97.6","0.4","1.8","0.1","0.1","0","0"
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","65 to 74","18925","18485","75","330","15","25","0","0","100","97.7","0.4","1.7","0.1","0.1","0","0"
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","75 and over","10530","10270","35","205","5","5","0","0","100","97.5","0.3","1.9","0","0","0","0"
