"Geographic code","Geographic name","Geographic Type","Geographic Name, province or territory","Geographic Code, province or territory","Geographic code, census division","Geographic code, census metropolitan area or census agglomeration","Global non-response rate","Data quality flag","Age","Mother tongue - Total (2016 counts)","Mother tongue - English (2016 counts)","Mother tongue - French (2016 counts)","Mother tongue - Non-official language (2016 counts)","Mother tongue - English and French (2016 counts)","Mother tongue - English and non-official language (2016 counts)","Mother tongue - French and non-official language (2016 counts)","Mother tongue - English, French and non-official language (2016 counts)","Mother tongue - Total (% distribution (2016))","Mother tongue - English (% distribution (2016))","Mother tongue - French (% distribution (2016))","Mother tongue - Non-official language (% distribution (2016))","Mother tongue - English and French (% distribution (2016))","Mother tongue - English and non-official language (% distribution (2016))","Mother tongue - French and non-official language (% distribution (2016))","Mother tongue - English, French and non-official language (% distribution (2016))"
"1001409","Bay Roberts","Town","Newfoundland and Labrador","10","01","005","3.2","00000","Total","6010","5955","10","35","10","0","0","0","100","99.1","0.2","0.6","0.2","0","0","0"
"1001409","Bay Roberts","Town","Newfoundland and Labrador","10","01","005","3.2","00000","0 to 14","1060","1045","0","5","0","0","0","0","100","98.6","0","0.5","0","0","0","0"
"1001409","Bay Roberts","Town","Newfoundland and Labrador","10","01","005","3.2","00000","0 to 4","300","295","0","0","5","0","0","0","100","98.3","0","0","1.7","0","0","0"
"1001409","Bay Roberts","Town","Newfoundland and Labrador","10","01","005","3.2","00000","5 to 9","360","355","0","5","0","0","0","0","100","98.6","0","1.4","0","0","0","0"
"1001409","Bay Roberts","Town","Newfoundland and Labrador","10","01","005","3.2","00000","10 to 14","395","390","0","5","0","0","0","0","100","98.7","0","1.3","0","0","0","0"
"1001409","Bay Roberts","Town","Newfoundland and Labrador","10","01","005","3.2","00000","15 to 24","615","605","5","5","5","0","0","0","100","98.4","0.8","0.8","0.8","0","0","0"
"1001409","Bay Roberts","Town","Newfoundland and Labrador","10","01","005","3.2","00000","15 to 19","335","335","0","5","0","0","0","0","100","100","0","1.5","0","0","0","0"
"1001409","Bay Roberts","Town","Newfoundland and Labrador","10","01","005","3.2","00000","20 to 24","275","270","0","0","5","0","0","0","100","98.2","0","0","1.8","0","0","0"
"1001409","Bay Roberts","Town","Newfoundland and Labrador","10","01","005","3.2","00000","25 to 44","1395","1380","5","15","0","0","0","0","100","98.9","0.4","1.1","0","0","0","0"
"1001409","Bay Roberts","Town","Newfoundland and Labrador","10","01","005","3.2","00000","45 to 64","1815","1795","5","10","0","0","0","0","100","98.9","0.3","0.6","0","0","0","0"
