"Geographic code","Geographic name","Geographic Type","Geographic Name, province or territory","Geographic Code, province or territory","Additional province code","Global non-response rate","Data quality flag","Year","Sex","Age","Family characteristics of young adults - Total (Counts)","Family characteristics of young adults - Total (% Distribution)","Family characteristics of young adults - Young adults living with at least one parent - Living in a couple (Counts)","Family characteristics of young adults - Young adults living with at least one parent - Living in a couple (% Distribution)","Family characteristics of young adults - Young adults living with at least one parent - Lone parents (Counts)","Family characteristics of young adults - Young adults living with at least one parent - Lone parents (% Distribution)","Family characteristics of young adults - Young adults living with at least one parent - Not living in a couple and not a lone parent (Counts)","Family characteristics of young adults - Young adults living with at least one parent - Not living in a couple and not a lone parent (% Distribution)","Family characteristics of young adults - Young adults not living with a parent - Living in a couple (Counts)","Family characteristics of young adults - Young adults not living with a parent - Living in a couple (% Distribution)","Family characteristics of young adults - Young adults not living with a parent - Lone parents (Counts)","Family characteristics of young adults - Young adults not living with a parent - Lone parents (% Distribution)","Family characteristics of young adults - Young adults not living with a parent - Not living in a couple nor living with own children Living with other relatives (Counts)","Family characteristics of young adults - Young adults not living with a parent - Not living in a couple nor living with own children Living with other relatives (% Distribution)","Family characteristics of young adults - Young adults not living with a parent - Not living in a couple nor living with own children Living with non-relatives only (Counts)","Family characteristics of young adults - Young adults not living with a parent - Not living in a couple nor living with own children Living with non-relatives only (% Distribution)","Family characteristics of young adults - Young adults not living with a parent - Not living in a couple nor living with own children Living alone (Counts)","Family characteristics of young adults - Young adults not living with a parent - Not living in a couple nor living with own children Living alone (% Distribution)"
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","2001","Both sexes","Total, 20 to 34","39365","100","390","1","410","1","12910","32.8","16610","42.2","1860","4.7","1030","2.6","3580","9.1","2575","6.5"
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","2001","Both sexes","20 to 24","14020","100","40","0.3","160","1.1","8420","60.1","2050","14.6","375","2.7","555","4","1885","13.4","530","3.8"
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","2001","Both sexes","25 to 29","12265","100","170","1.4","125","1","3250","26.5","5665","46.2","630","5.1","260","2.1","1160","9.5","1020","8.3"
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","2001","Both sexes","30 to 34","13075","100","180","1.4","125","1","1240","9.5","8895","68","860","6.6","220","1.7","535","4.1","1020","7.8"
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","2001","Male","Total, 20 to 34","18670","100","160","0.9","60","0.3","7305","39.1","7315","39.2","100","0.5","565","3","1780","9.5","1390","7.4"
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","2001","Male","20 to 24","6785","100","20","0.3","30","0.4","4550","67.1","770","11.3","0","0","300","4.4","890","13.1","230","3.4"
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","2001","Male","25 to 29","5840","100","85","1.5","15","0.3","1950","33.4","2460","42.1","30","0.5","140","2.4","580","9.9","590","10.1"
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","2001","Male","30 to 34","6045","100","55","0.9","15","0.2","810","13.4","4085","67.6","65","1.1","120","2","315","5.2","575","9.5"
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","2001","Female","Total, 20 to 34","20695","100","235","1.1","345","1.7","5605","27.1","9295","44.9","1760","8.5","465","2.2","1800","8.7","1185","5.7"
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","2001","Female","20 to 24","7240","100","25","0.3","130","1.8","3875","53.5","1285","17.7","375","5.2","255","3.5","995","13.7","310","4.3"
