Geographic Code,Geographic Name,Global non-response rate,Data Quality Flag,Sex,Statistical area classification name,Total,Broad age groups: 0 to 14 years,Broad age groups: 15 to 64 years,Broad age groups: 65 years and over,Broad age groups: 85 years and over
01,Canada,4.0,20000,Both sexes,Total,35151730,5839570,23376530,5935635,770785
01,Canada,4.0,20000,Both sexes,   Within CMA / CA,29232945,4838160,19651680,4743100,637855
01,Canada,4.0,20000,Both sexes,   Outside CMA / CA,5918780,1001405,3724845,1192530,132930
01,Canada,4.0,20000,Both sexes,      Strongly influenced,1993700,329290,1277740,386665,37145
01,Canada,4.0,20000,Both sexes,      Moderately / weak / not influenced,3859270,654250,2403675,801350,95505
01,Canada,4.0,20000,Both sexes,      Territories,65810,17865,43425,4515,280
01,Canada,4.0,20000,Male,Total,17264200,2992920,11576130,2695150,268795
01,Canada,4.0,20000,Male,   Within CMA / CA,14291305,2478670,9696185,2116455,219900
01,Canada,4.0,20000,Male,   Outside CMA / CA,2972895,514250,1879950,578695,48890
01,Canada,4.0,20000,Male,      Strongly influenced,1007960,169700,645590,192665,14215
01,Canada,4.0,20000,Male,      Moderately / weak / not influenced,1931120,335435,1212055,383625,34550
01,Canada,4.0,20000,Male,      Territories,33815,9110,22300,2405,120
01,Canada,4.0,20000,Female,Total,17887530,2846645,11800400,3240480,501995
01,Canada,4.0,20000,Female,   Within CMA / CA,14941645,2359490,9955505,2626650,417955
01,Canada,4.0,20000,Female,   Outside CMA / CA,2945890,487155,1844895,613835,84035
01,Canada,4.0,20000,Female,      Strongly influenced,985740,159585,632150,194005,22930
01,Canada,4.0,20000,Female,      Moderately / weak / not influenced,1928155,318815,1191620,417715,60955
01,Canada,4.0,20000,Female,      Territories,31990,8760,21125,2115,155
10,Newfoundland and Labrador,4.0,00000,Both sexes,Total,519715,74445,344250,101025,9360
10,Newfoundland and Labrador,4.0,00000,Both sexes,   Within CMA / CA,276360,42825,188625,44910,4565
10,Newfoundland and Labrador,4.0,00000,Both sexes,   Outside CMA / CA,243355,31615,155620,56120,4800
10,Newfoundland and Labrador,4.0,00000,Both sexes,      Strongly influenced,36170,4595,22895,8685,680
10,Newfoundland and Labrador,4.0,00000,Both sexes,      Moderately / weak / not influenced,207180,27025,132730,47430,4115
10,Newfoundland and Labrador,4.0,00000,Both sexes,      Territories,0,0,0,0,0
10,Newfoundland and Labrador,4.0,00000,Male,Total,253930,38205,168550,47175,3240
10,Newfoundland and Labrador,4.0,00000,Male,   Within CMA / CA,133780,21935,91675,20160,1505
10,Newfoundland and Labrador,4.0,00000,Male,   Outside CMA / CA,120150,16265,76875,27010,1735
10,Newfoundland and Labrador,4.0,00000,Male,      Strongly influenced,17880,2370,11265,4250,210
10,Newfoundland and Labrador,4.0,00000,Male,      Moderately / weak / not influenced,102270,13895,65610,22765,1520
10,Newfoundland and Labrador,4.0,00000,Male,      Territories,0,0,0,0,0
10,Newfoundland and Labrador,4.0,00000,Female,Total,265790,36240,175695,53855,6120
10,Newfoundland and Labrador,4.0,00000,Female,   Within CMA / CA,142580,20885,96945,24750,3060
10,Newfoundland and Labrador,4.0,00000,Female,   Outside CMA / CA,123210,15355,78750,29110,3065
10,Newfoundland and Labrador,4.0,00000,Female,      Strongly influenced,18295,2225,11635,4440,475
10,Newfoundland and Labrador,4.0,00000,Female,      Moderately / weak / not influenced,104915,13130,67115,24670,2590
10,Newfoundland and Labrador,4.0,00000,Female,      Territories,0,0,0,0,0
11,Prince Edward Island,4.1,00000,Both sexes,Total,142910,22685,92505,27715,3085
11,Prince Edward Island,4.1,00000,Both sexes,   Within CMA / CA,85910,13950,56185,15780,1905
11,Prince Edward Island,4.1,00000,Both sexes,   Outside CMA / CA,56995,8735,36325,11935,1180
11,Prince Edward Island,4.1,00000,Both sexes,      Strongly influenced,25325,3930,16540,4855,400
11,Prince Edward Island,4.1,00000,Both sexes,      Moderately / weak / not influenced,31670,4805,19785,7075,775
11,Prince Edward Island,4.1,00000,Both sexes,      Territories,0,0,0,0,0
11,Prince Edward Island,4.1,00000,Male,Total,69305,11570,45095,12640,1020
11,Prince Edward Island,4.1,00000,Male,   Within CMA / CA,41040,7105,27050,6885,600
11,Prince Edward Island,4.1,00000,Male,   Outside CMA / CA,28265,4465,18045,5755,420
11,Prince Edward Island,4.1,00000,Male,      Strongly influenced,12705,2055,8215,2440,165
11,Prince Edward Island,4.1,00000,Male,      Moderately / weak / not influenced,15555,2415,9830,3315,260
11,Prince Edward Island,4.1,00000,Male,      Territories,0,0,0,0,0
11,Prince Edward Island,4.1,00000,Female,Total,73600,11115,47415,15075,2060
11,Prince Edward Island,4.1,00000,Female,   Within CMA / CA,44870,6840,29135,8890,1305
11,Prince Edward Island,4.1,00000,Female,   Outside CMA / CA,28730,4270,18280,6180,755
11,Prince Edward Island,4.1,00000,Female,      Strongly influenced,12615,1880,8320,2420,240
11,Prince Edward Island,4.1,00000,Female,      Moderately / weak / not influenced,16110,2395,9955,3760,520
11,Prince Edward Island,4.1,00000,Female,      Territories,0,0,0,0,0
12,Nova Scotia,3.9,00000,Both sexes,Total,923600,133830,605950,183820,21650
12,Nova Scotia,3.9,00000,Both sexes,   Within CMA / CA,608570,90520,409735,108315,12705
12,Nova Scotia,3.9,00000,Both sexes,   Outside CMA / CA,315025,43305,196215,75505,8945
12,Nova Scotia,3.9,00000,Both sexes,      Strongly influenced,71640,10530,46010,15100,1565
12,Nova Scotia,3.9,00000,Both sexes,      Moderately / weak / not influenced,243385,32780,150200,60405,7375
12,Nova Scotia,3.9,00000,Both sexes,      Territories,0,0,0,0,0
12,Nova Scotia,3.9,00000,Male,Total,446885,68370,295100,83410,7140
12,Nova Scotia,3.9,00000,Male,   Within CMA / CA,293250,46090,198890,48270,4080
12,Nova Scotia,3.9,00000,Male,   Outside CMA / CA,153635,22280,96215,35145,3060
12,Nova Scotia,3.9,00000,Male,      Strongly influenced,35205,5440,22580,7180,555
12,Nova Scotia,3.9,00000,Male,      Moderately / weak / not influenced,118435,16840,73630,27960,2505
12,Nova Scotia,3.9,00000,Male,      Territories,0,0,0,0,0
12,Nova Scotia,3.9,00000,Female,Total,476715,65460,310845,100410,14510
12,Nova Scotia,3.9,00000,Female,   Within CMA / CA,315325,44425,210845,60050,8625
12,Nova Scotia,3.9,00000,Female,   Outside CMA / CA,161390,21030,100000,40360,5885
12,Nova Scotia,3.9,00000,Female,      Strongly influenced,36440,5095,23425,7915,1010
12,Nova Scotia,3.9,00000,Female,      Moderately / weak / not influenced,124955,15935,76575,32445,4870
12,Nova Scotia,3.9,00000,Female,      Territories,0,0,0,0,0
13,New Brunswick,3.9,00000,Both sexes,Total,747100,110495,487820,148785,17620
13,New Brunswick,3.9,00000,Both sexes,   Within CMA / CA,468040,71895,308900,87250,10510
13,New Brunswick,3.9,00000,Both sexes,   Outside CMA / CA,279060,38600,178925,61535,7110
13,New Brunswick,3.9,00000,Both sexes,      Strongly influenced,74455,9355,47245,17855,1865
13,New Brunswick,3.9,00000,Both sexes,      Moderately / weak / not influenced,204605,29240,131675,43680,5245
13,New Brunswick,3.9,00000,Both sexes,      Territories,0,0,0,0,0
13,New Brunswick,3.9,00000,Male,Total,365355,56320,240535,68500,5860
13,New Brunswick,3.9,00000,Male,   Within CMA / CA,227085,36610,151115,39365,3395
13,New Brunswick,3.9,00000,Male,   Outside CMA / CA,138270,19705,89425,29135,2465
13,New Brunswick,3.9,00000,Male,      Strongly influenced,37070,4765,23675,8630,680
13,New Brunswick,3.9,00000,Male,      Moderately / weak / not influenced,101200,14940,65755,20510,1785
13,New Brunswick,3.9,00000,Male,      Territories,0,0,0,0,0
13,New Brunswick,3.9,00000,Female,Total,381745,54180,247285,80285,11765
13,New Brunswick,3.9,00000,Female,   Within CMA / CA,240955,35290,157785,47880,7115
13,New Brunswick,3.9,00000,Female,   Outside CMA / CA,140790,18890,89500,32400,4650
13,New Brunswick,3.9,00000,Female,      Strongly influenced,37390,4585,23570,9225,1185
13,New Brunswick,3.9,00000,Female,      Moderately / weak / not influenced,103405,14300,65930,23175,3465
13,New Brunswick,3.9,00000,Female,      Territories,0,0,0,0,0
24,Quebec,3.7,20000,Both sexes,Total,8164360,1333260,5335910,1495190,188685
24,Quebec,3.7,20000,Both sexes,   Within CMA / CA,6624855,1090505,4366115,1168235,153885
24,Quebec,3.7,20000,Both sexes,   Outside CMA / CA,1539505,242750,969790,326960,34800
24,Quebec,3.7,20000,Both sexes,      Strongly influenced,635625,104945,408055,122630,11225
24,Quebec,3.7,20000,Both sexes,      Moderately / weak / not influenced,903880,137810,561740,204325,23575
24,Quebec,3.7,20000,Both sexes,      Territories,0,0,0,0,0
24,Quebec,3.7,20000,Male,Total,4016755,682540,2664630,669590,61885
24,Quebec,3.7,20000,Male,   Within CMA / CA,3237280,557685,2169200,510400,49595
24,Quebec,3.7,20000,Male,   Outside CMA / CA,779475,124850,495435,159190,12285
24,Quebec,3.7,20000,Male,      Strongly influenced,324985,54010,209285,61695,4250
24,Quebec,3.7,20000,Male,      Moderately / weak / not influenced,454490,70845,286150,97495,8040
24,Quebec,3.7,20000,Male,      Territories,0,0,0,0,0
24,Quebec,3.7,20000,Female,Total,4147600,650720,2671275,825605,126800
24,Quebec,3.7,20000,Female,   Within CMA / CA,3387580,532825,2196915,657840,104290
24,Quebec,3.7,20000,Female,   Outside CMA / CA,760025,117900,474365,167765,22510
24,Quebec,3.7,20000,Female,      Strongly influenced,310635,50935,198770,60930,6980
24,Quebec,3.7,20000,Female,      Moderately / weak / not influenced,449385,66965,275590,106835,15535
24,Quebec,3.7,20000,Female,      Territories,0,0,0,0,0
35,Ontario,3.7,20000,Both sexes,Total,13448495,2207970,8988870,2251660,301075
35,Ontario,3.7,20000,Both sexes,   Within CMA / CA,12062320,1985265,8118980,1958080,268000
35,Ontario,3.7,20000,Both sexes,   Outside CMA / CA,1386175,222710,869885,293580,33075
35,Ontario,3.7,20000,Both sexes,      Strongly influenced,708865,114360,453345,141160,14780
35,Ontario,3.7,20000,Both sexes,      Moderately / weak / not influenced,677305,108350,416545,152410,18295
35,Ontario,3.7,20000,Both sexes,      Territories,0,0,0,0,0
35,Ontario,3.7,20000,Male,Total,6559390,1131615,4412115,1015655,106090
35,Ontario,3.7,20000,Male,   Within CMA / CA,5867210,1017275,3975965,873975,93950
35,Ontario,3.7,20000,Male,   Outside CMA / CA,692180,114345,436155,141680,12140
