"Geographic code","Geographic name","Global non-response rate","Data quality flag","Year","Sex","Presence and age of children","Total population aged 15 or more (Counts)","Total population aged 15 or more (% Distribution)","Total population aged 15 or more (% Change)","Persons not in a couple (Counts)","Persons not in a couple (% Distribution)","Persons not in a couple (% Change)","Persons in a couple - Total persons in a couple (Counts)","Persons in a couple - Total persons in a couple (% Distribution)","Persons in a couple - Total persons in a couple (% Change)","Persons in a couple - Married spouses - Total (Counts)","Persons in a couple - Married spouses - Total (% Distribution)","Persons in a couple - Married spouses - Total (% Change)","Persons in a couple - Married spouses - Opposite-sex (Counts)","Persons in a couple - Married spouses - Opposite-sex (% Distribution)","Persons in a couple - Married spouses - Opposite-sex (% Change)","Persons in a couple - Married spouses - Same-sex (Counts)","Persons in a couple - Married spouses - Same-sex (% Distribution)","Persons in a couple - Married spouses - Same-sex (% Change)","Persons in a couple - Common-law partners - Total (Counts)","Persons in a couple - Common-law partners - Total (% Distribution)","Persons in a couple - Common-law partners - Total (% Change)","Persons in a couple - Common-law partners - Opposite-sex (Counts)","Persons in a couple - Common-law partners - Opposite-sex (% Distribution)","Persons in a couple - Common-law partners - Opposite-sex (% Change)","Persons in a couple - Common-law partners - Same-sex (Counts)","Persons in a couple - Common-law partners - Same-sex (% Distribution)","Persons in a couple - Common-law partners - Same-sex (% Change)"
"01","Canada","4.0","20000","2016","Both sexes","Total, presence and age of children","28642980","100","12.3","12187135","42.5","15.6","16455840","57.5","10","12948005","45.2","6","12899265","45","5.8","48740","0.2","226.6","3507840","12.2","27.4","3410820","11.9","27.4","97020","0.3","28"
"01","Canada","4.0","20000","2016","Both sexes","Without children","18622945","100","16.6","10574330","56.8","15.8","8048615","43.2","17.6","6092425","32.7","14.4","6052385","32.5","13.9","40040","0.2","225.5","1956190","10.5","28.9","1868005","10","29","88185","0.5","26.4"
"01","Canada","4.0","20000","2016","Both sexes","With children","10020035","100","5.1","1612805","16.1","14.1","8407230","83.9","3.5","6855580","68.4","-0.5","6846880","68.3","-0.6","8700","0.1","231.4","1551650","15.5","25.5","1542815","15.4","25.4","8835","0.1","47.9"
"01","Canada","4.0","20000","2016","Both sexes","With at least one child aged 0 to 14","5968850","100","1.8","736970","12.3","6.5","5231880","87.7","1.2","4052380","67.9","-3","4045765","67.8","-3.1","6615","0.1","261.5","1179500","19.8","18.5","1173140","19.7","18.3","6365","0.1","50.1"
"01","Canada","4.0","20000","2016","Both sexes","With children 15 years and over only","4051190","100","10.2","875840","21.6","21.3","3175350","78.4","7.5","2803200","69.2","3.4","2801115","69.1","3.3","2085","0.1","160.6","372150","9.2","54.7","369680","9.1","54.8","2470","0.1","42"
"01","Canada","4.0","20000","2016","Male","Total, presence and age of children","13990620","100","12.9","5759985","41.2","17.4","8230640","58.8","9.9","6473215","46.3","6","6449630","46.1","5.8","23580","0.2","194","1757430","12.6","27.3","1705410","12.2","27.4","52020","0.4","25.5"
"01","Canada","4.0","20000","2016","Male","Without children","9441895","100","17.2","5409515","57.3","16.9","4032375","42.7","17.6","3047785","32.3","14.4","3026190","32.1","13.9","21590","0.2","201.7","984595","10.4","28.8","934005","9.9","29","50590","0.5","24.4"
"01","Canada","4.0","20000","2016","Male","With children","4548735","100","4.8","350465","7.7","24.4","4198265","92.3","3.4","3425430","75.3","-0.5","3423440","75.3","-0.6","1990","0","130.1","772835","17","25.5","771405","17","25.4","1430","0","78.8"
"01","Canada","4.0","20000","2016","Male","With at least one child aged 0 to 14","2757125","100","2","145400","5.3","20.4","2611720","94.7","1.1","2024230","73.4","-3","2022880","73.4","-3.1","1355","0","208","587485","21.3","18.4","586565","21.3","18.3","920","0","121.7"
"01","Canada","4.0","20000","2016","Male","With children 15 years and over only","1791610","100","9.5","205065","11.4","27.3","1586545","88.6","7.5","1401200","78.2","3.3","1400560","78.2","3.3","635","0","49.4","185345","10.3","54.7","184835","10.3","54.8","510","0","32.5"
