"Geographic code","Geographic name","Geographic Type","Geographic Name, province or territory","Geographic Code, province or territory","Additional province code","Global non-response rate","Data quality flag","Year","Sex","Presence and age of children","Total population aged 15 or more (Counts)","Total population aged 15 or more (% Distribution)","Total population aged 15 or more (% Change)","Persons not in a couple (Counts)","Persons not in a couple (% Distribution)","Persons not in a couple (% Change)","Persons in a couple - Total persons in a couple (Counts)","Persons in a couple - Total persons in a couple (% Distribution)","Persons in a couple - Total persons in a couple (% Change)","Persons in a couple - Married spouses - Total (Counts)","Persons in a couple - Married spouses - Total (% Distribution)","Persons in a couple - Married spouses - Total (% Change)","Persons in a couple - Married spouses - Opposite-sex (Counts)","Persons in a couple - Married spouses - Opposite-sex (% Distribution)","Persons in a couple - Married spouses - Opposite-sex (% Change)","Persons in a couple - Married spouses - Same-sex (Counts)","Persons in a couple - Married spouses - Same-sex (% Distribution)","Persons in a couple - Married spouses - Same-sex (% Change)","Persons in a couple - Common-law partners - Total (Counts)","Persons in a couple - Common-law partners - Total (% Distribution)","Persons in a couple - Common-law partners - Total (% Change)","Persons in a couple - Common-law partners - Opposite-sex (Counts)","Persons in a couple - Common-law partners - Opposite-sex (% Distribution)","Persons in a couple - Common-law partners - Opposite-sex (% Change)","Persons in a couple - Common-law partners - Same-sex (Counts)","Persons in a couple - Common-law partners - Same-sex (% Distribution)","Persons in a couple - Common-law partners - Same-sex (% Change)"
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","2001","Both sexes","Total, presence and age of children","139970","100","","58915","42.1","","81055","57.9","","70955","50.7","","70955","50.7","","","","","10100","7.2","","9820","7","","280","0.2",""
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","2001","Both sexes","Without children","81640","100","","49930","61.2","","31700","38.8","","24995","30.6","","25000","30.6","","","","","6705","8.2","","6430","7.9","","280","0.3",""
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","2001","Both sexes","With children","58335","100","","8980","15.4","","49360","84.6","","45960","78.8","","45960","78.8","","","","","3395","5.8","","3400","5.8","","0","0",""
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","2001","Both sexes","With at least one child aged 0 to 14","33780","100","","4635","13.7","","29145","86.3","","26530","78.5","","26530","78.5","","","","","2620","7.8","","2615","7.7","","0","0",""
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","2001","Both sexes","With children 15 years and over only","24560","100","","4350","17.7","","20210","82.3","","19425","79.1","","19430","79.1","","","","","780","3.2","","780","3.2","","0","0",""
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","2001","Male","Total, presence and age of children","66220","100","","25685","38.8","","40535","61.2","","35480","53.6","","35480","53.6","","","","","5060","7.6","","4910","7.4","","150","0.2",""
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","2001","Male","Without children","40070","100","","24210","60.4","","15860","39.6","","12500","31.2","","12495","31.2","","","","","3360","8.4","","3215","8","","145","0.4",""
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","2001","Male","With children","26145","100","","1470","5.6","","24680","94.4","","22980","87.9","","22980","87.9","","","","","1695","6.5","","1695","6.5","","0","0",""
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","2001","Male","With at least one child aged 0 to 14","15185","100","","610","4","","14575","96","","13265","87.4","","13265","87.4","","","","","1310","8.6","","1305","8.6","","0","0",""
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","2001","Male","With children 15 years and over only","10965","100","","860","7.8","","10105","92.2","","9715","88.6","","9715","88.6","","","","","390","3.6","","390","3.6","","0","0",""
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","2001","Female","Total, presence and age of children","73755","100","","33235","45.1","","40520","54.9","","35475","48.1","","35480","48.1","","","","","5045","6.8","","4910","6.7","","135","0.2",""
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","2001","Female","Without children","41565","100","","25720","61.9","","15845","38.1","","12495","30.1","","12500","30.1","","","","","3345","8","","3210","7.7","","130","0.3",""
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","2001","Female","With children","32190","100","","7510","23.3","","24675","76.7","","22985","71.4","","22980","71.4","","","","","1700","5.3","","1700","5.3","","0","0",""
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","2001","Female","With at least one child aged 0 to 14","18595","100","","4020","21.6","","14575","78.4","","13265","71.3","","13265","71.3","","","","","1305","7","","1305","7","","0","0",""
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","2001","Female","With children 15 years and over only","13600","100","","3490","25.7","","10105","74.3","","9715","71.4","","9715","71.4","","","","","390","2.9","","390","2.9","","0","0",""
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","2006","Both sexes","Total, presence and age of children","149490","100","","63985","42.8","","85505","57.2","","73385","49.1","","73345","49.1","","45","0","","12120","8.1","","11705","7.8","","410","0.3",""
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","2006","Both sexes","Without children","90425","100","","54210","60","","36210","40","","28495","31.5","","28450","31.5","","45","0","","7720","8.5","","7320","8.1","","400","0.4",""
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","2006","Both sexes","With children","59065","100","","9775","16.5","","49290","83.5","","44895","76","","44890","76","","0","0","","4400","7.4","","4390","7.4","","15","0",""
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","2006","Both sexes","With at least one child aged 0 to 14","32860","100","","4605","14","","28255","86","","25150","76.5","","25150","76.5","","0","0","","3100","9.4","","3100","9.4","","0","0",""
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","2006","Both sexes","With children 15 years and over only","26205","100","","5170","19.7","","21035","80.3","","19735","75.3","","19740","75.3","","0","0","","1295","4.9","","1285","4.9","","15","0.1",""
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","2006","Male","Total, presence and age of children","70570","100","","27850","39.5","","42715","60.5","","36695","52","","36670","52","","25","0","","6020","8.5","","5855","8.3","","175","0.2",""
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","2006","Male","Without children","44285","100","","26205","59.2","","18080","40.8","","14250","32.2","","14225","32.1","","25","0.1","","3830","8.6","","3660","8.3","","170","0.4",""
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","2006","Male","With children","26285","100","","1650","6.3","","24640","93.7","","22445","85.4","","22445","85.4","","0","0","","2190","8.3","","2195","8.4","","0","0",""
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","2006","Male","With at least one child aged 0 to 14","14675","100","","545","3.7","","14125","96.3","","12580","85.7","","12575","85.7","","0","0","","1555","10.6","","1555","10.6","","0","0",""
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","2006","Male","With children 15 years and over only","11615","100","","1100","9.5","","10510","90.5","","9870","85","","9870","85","","0","0","","640","5.5","","645","5.6","","0","0",""
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","2006","Female","Total, presence and age of children","78920","100","","36135","45.8","","42790","54.2","","36695","46.5","","36670","46.5","","25","0","","6095","7.7","","5850","7.4","","240","0.3",""
