"Geographic code","Geographic name","Geographic type","Geographic name, Province or territory","Geographic code, Province or territory","Global non-response rate","Data quality flag","Income source","Sex","Total population 15 years and over, 2006","Total population 15 years and over, 2016","Number of income recipients, 2005","Number of income recipients, 2015","Median amount (2015 constant dollars), 2005","Median amount (2015 constant dollars), 2015","Median amount (2015 constant dollars), % change"
"1001","Division No.  1","Census division","Newfoundland and Labrador","10",3.7,"00000","Total income","Both sexes",206310,226160,195270,218510,25842,35687,38.1
"1001","Division No.  1","Census division","Newfoundland and Labrador","10",3.7,"00000","Total income","Males",98275,109255,93715,105665,32734,44192,35.0
"1001","Division No.  1","Census division","Newfoundland and Labrador","10",3.7,"00000","Total income","Females",108035,116905,101560,112850,21064,29172,38.5
"1001","Division No.  1","Census division","Newfoundland and Labrador","10",3.7,"00000","After-tax income","Both sexes",206310,226160,195285,218575,23452,31985,36.4
"1001","Division No.  1","Census division","Newfoundland and Labrador","10",3.7,"00000","After-tax income","Males",98275,109255,93695,105670,28630,38362,34.0
"1001","Division No.  1","Census division","Newfoundland and Labrador","10",3.7,"00000","After-tax income","Females",108035,116905,101590,112905,19846,26712,34.6
"1001","Division No.  1","Census division","Newfoundland and Labrador","10",3.7,"00000","Employment income","Both sexes",206310,226160,137080,162245,26464,36532,38.0
"1001","Division No.  1","Census division","Newfoundland and Labrador","10",3.7,"00000","Employment income","Males",98275,109255,69995,82925,32167,45333,40.9
"1001","Division No.  1","Census division","Newfoundland and Labrador","10",3.7,"00000","Employment income","Females",108035,116905,67090,79320,21459,29005,35.2
"1002","Division No.  2","Census division","Newfoundland and Labrador","10",4.2,"00000","Total income","Both sexes",18755,17590,17500,16905,21051,26636,26.5
"1002","Division No.  2","Census division","Newfoundland and Labrador","10",4.2,"00000","Total income","Males",9225,8690,8690,8410,28348,38392,35.4
"1002","Division No.  2","Census division","Newfoundland and Labrador","10",4.2,"00000","Total income","Females",9530,8900,8805,8495,16827,20956,24.5
"1002","Division No.  2","Census division","Newfoundland and Labrador","10",4.2,"00000","After-tax income","Both sexes",18755,17590,17515,16915,19973,24775,24.0
"1002","Division No.  2","Census division","Newfoundland and Labrador","10",4.2,"00000","After-tax income","Males",9225,8690,8695,8410,25301,34735,37.3
"1002","Division No.  2","Census division","Newfoundland and Labrador","10",4.2,"00000","After-tax income","Females",9530,8900,8820,8500,16132,20446,26.7
"1002","Division No.  2","Census division","Newfoundland and Labrador","10",4.2,"00000","Employment income","Both sexes",18755,17590,11530,11000,16301,27482,68.6
"1002","Division No.  2","Census division","Newfoundland and Labrador","10",4.2,"00000","Employment income","Males",9225,8690,6225,5865,22992,47232,105.4
"1002","Division No.  2","Census division","Newfoundland and Labrador","10",4.2,"00000","Employment income","Females",9530,8900,5305,5135,12443,18720,50.4
"1003","Division No.  3","Census division","Newfoundland and Labrador","10",4.3,"00000","Total income","Both sexes",15005,13620,13895,13075,19327,25519,32.0
"1003","Division No.  3","Census division","Newfoundland and Labrador","10",4.3,"00000","Total income","Males",7340,6645,6950,6445,27176,36206,33.2
"1003","Division No.  3","Census division","Newfoundland and Labrador","10",4.3,"00000","Total income","Females",7660,6965,6945,6625,15736,19871,26.3
"1003","Division No.  3","Census division","Newfoundland and Labrador","10",4.3,"00000","After-tax income","Both sexes",15005,13620,13895,13075,18499,24195,30.8
"1003","Division No.  3","Census division","Newfoundland and Labrador","10",4.3,"00000","After-tax income","Males",7340,6645,6955,6450,24388,32856,34.7
"1003","Division No.  3","Census division","Newfoundland and Labrador","10",4.3,"00000","After-tax income","Females",7660,6965,6940,6630,15206,19417,27.7
"1003","Division No.  3","Census division","Newfoundland and Labrador","10",4.3,"00000","Employment income","Both sexes",15005,13620,8845,8555,14590,21629,48.2
"1003","Division No.  3","Census division","Newfoundland and Labrador","10",4.3,"00000","Employment income","Males",7340,6645,4950,4605,19302,31296,62.1
"1003","Division No.  3","Census division","Newfoundland and Labrador","10",4.3,"00000","Employment income","Females",7660,6965,3895,3950,10716,15136,41.2
