"Geographic code","Geographic name","Geographic type","Geographic name, Province or territory","Geographic code, Province or territory","Additional province code","Global non-response rate","Data quality flag","Income source","Sex","Total population 15 years and over, 2006","Total population 15 years and over, 2016","Number of income recipients, 2005","Number of income recipients, 2015","Median amount (2015 constant dollars), 2005","Median amount (2015 constant dollars), 2015","Median amount (2015 constant dollars), % change"
"001","St. John's","CMA","Newfoundland and Labrador","10","",3.5,"00000","Total income","Both sexes",149490,170920,141950,165125,28793,38569,34.0
"001","St. John's","CMA","Newfoundland and Labrador","10","",3.5,"00000","Total income","Males",70565,82170,67220,79305,35280,46396,31.5
"001","St. John's","CMA","Newfoundland and Labrador","10","",3.5,"00000","Total income","Females",78920,88750,74735,85820,23622,32538,37.7
"001","St. John's","CMA","Newfoundland and Labrador","10","",3.5,"00000","After-tax income","Both sexes",149490,170920,141970,165165,25712,34069,32.5
"001","St. John's","CMA","Newfoundland and Labrador","10","",3.5,"00000","After-tax income","Males",70565,82170,67200,79315,30539,39950,30.8
"001","St. John's","CMA","Newfoundland and Labrador","10","",3.5,"00000","After-tax income","Females",78920,88750,74765,85855,21937,29459,34.3
"001","St. John's","CMA","Newfoundland and Labrador","10","",3.5,"00000","Employment income","Both sexes",149490,170920,103765,127460,30785,39341,27.8
"001","St. John's","CMA","Newfoundland and Labrador","10","",3.5,"00000","Employment income","Males",70565,82170,52140,64330,35562,47275,32.9
"001","St. John's","CMA","Newfoundland and Labrador","10","",3.5,"00000","Employment income","Females",78920,88750,51630,63130,25591,32507,27.0
"005","Bay Roberts","CA","Newfoundland and Labrador","10","",3.5,"00000","Total income","Both sexes",8695,9270,8200,8885,19828,28938,45.9
"005","Bay Roberts","CA","Newfoundland and Labrador","10","",3.5,"00000","Total income","Males",4170,4470,4010,4315,27939,40779,46.0
"005","Bay Roberts","CA","Newfoundland and Labrador","10","",3.5,"00000","Total income","Females",4525,4795,4190,4570,16021,21865,36.5
"005","Bay Roberts","CA","Newfoundland and Labrador","10","",3.5,"00000","After-tax income","Both sexes",8695,9270,8195,8885,18829,26724,41.9
"005","Bay Roberts","CA","Newfoundland and Labrador","10","",3.5,"00000","After-tax income","Males",4170,4470,4010,4315,25150,35998,43.1
"005","Bay Roberts","CA","Newfoundland and Labrador","10","",3.5,"00000","After-tax income","Females",4525,4795,4190,4575,15703,21003,33.8
"005","Bay Roberts","CA","Newfoundland and Labrador","10","",3.5,"00000","Employment income","Both sexes",8695,9270,5180,5860,17212,29264,70.0
"005","Bay Roberts","CA","Newfoundland and Labrador","10","",3.5,"00000","Employment income","Males",4170,4470,2760,3120,23229,42624,83.5
"005","Bay Roberts","CA","Newfoundland and Labrador","10","",3.5,"00000","Employment income","Females",4525,4795,2420,2740,12523,20864,66.6
"010","Grand Falls-Windsor","CA","Newfoundland and Labrador","10","",4.1,"00000","Total income","Both sexes",11200,11810,10455,11350,23970,30718,28.2
"010","Grand Falls-Windsor","CA","Newfoundland and Labrador","10","",4.1,"00000","Total income","Males",5235,5590,5025,5370,33567,39712,18.3
"010","Grand Falls-Windsor","CA","Newfoundland and Labrador","10","",4.1,"00000","Total income","Females",5960,6215,5430,5975,18830,24717,31.3
"010","Grand Falls-Windsor","CA","Newfoundland and Labrador","10","",4.1,"00000","After-tax income","Both sexes",11200,11810,10465,11360,22109,28094,27.1
"010","Grand Falls-Windsor","CA","Newfoundland and Labrador","10","",4.1,"00000","After-tax income","Males",5235,5590,5025,5375,29505,35278,19.6
"010","Grand Falls-Windsor","CA","Newfoundland and Labrador","10","",4.1,"00000","After-tax income","Females",5960,6215,5440,5985,17991,23069,28.2
"010","Grand Falls-Windsor","CA","Newfoundland and Labrador","10","",4.1,"00000","Employment income","Both sexes",11200,11810,6980,7640,22135,29499,33.3
"010","Grand Falls-Windsor","CA","Newfoundland and Labrador","10","",4.1,"00000","Employment income","Males",5235,5590,3670,3860,30815,38246,24.1
"010","Grand Falls-Windsor","CA","Newfoundland and Labrador","10","",4.1,"00000","Employment income","Females",5960,6215,3305,3785,16523,24059,45.6
"011","Gander","CA","Newfoundland and Labrador","10","",3.2,"00000","Total income","Both sexes",9325,10795,8850,10475,28184,35051,24.4
"011","Gander","CA","Newfoundland and Labrador","10","",3.2,"00000","Total income","Males",4460,5160,4230,5015,38356,44406,15.8
"011","Gander","CA","Newfoundland and Labrador","10","",3.2,"00000","Total income","Females",4865,5630,4620,5465,20854,27618,32.4
"011","Gander","CA","Newfoundland and Labrador","10","",3.2,"00000","After-tax income","Both sexes",9325,10795,8850,10480,25269,31434,24.4
"011","Gander","CA","Newfoundland and Labrador","10","",3.2,"00000","After-tax income","Males",4460,5160,4230,5015,33051,38892,17.7
"011","Gander","CA","Newfoundland and Labrador","10","",3.2,"00000","After-tax income","Females",4865,5630,4615,5465,19630,25284,28.8
