"Geographic code","Geographic name","Global non-response rate","Data quality flag","Low-income concepts","Age groups","Population in private households for income status, 2006","Population in private households for income status, 2016","Number of persons in low income, 2005","Number of persons in low income, 2015","Prevalence of low income (%), 2005","Prevalence of low income (%), 2015","Prevalence of low income (%), Difference"
"01","Canada",4.0,"20000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",30638315,33968295,4301420,4809940,14.0,14.2,0.2
"01","Canada",4.0,"20000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",6718460,6836375,1151960,1163830,17.1,17.0,-0.1
"01","Canada",4.0,"20000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",1975185,2228770,371710,396090,18.8,17.8,-1.0
"01","Canada",4.0,"20000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",19935175,21695090,2670805,2855290,13.4,13.2,-0.2
"01","Canada",4.0,"20000","Low-income measure, after-tax (LIM-AT)","65 years and over",3984680,5436830,478650,790820,12.0,14.5,2.5
"01","Canada",4.0,"20000","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",30628935,33968295,3484620,3128995,11.4,9.2,-2.2
"01","Canada",4.0,"20000","Low-income cut-offs, after-tax (LICO-AT)","0 to 17 years",6709080,6836375,879960,696025,13.1,10.2,-2.9
"01","Canada",4.0,"20000","Low-income cut-offs, after-tax (LICO-AT)","0 to 5 years",1972050,2228770,286725,236430,14.5,10.6,-3.9
"01","Canada",4.0,"20000","Low-income cut-offs, after-tax (LICO-AT)","18 to 64 years",19935175,21695090,2337785,2157750,11.7,9.9,-1.8
"01","Canada",4.0,"20000","Low-income cut-offs, after-tax (LICO-AT)","65 years and over",3984680,5436830,266885,275225,6.7,5.1,-1.6
"10","Newfoundland and Labrador",4.0,"00000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",497490,509340,99580,78590,20.0,15.4,-4.6
"10","Newfoundland and Labrador",4.0,"00000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",98725,89425,25210,15920,25.5,17.8,-7.7
"10","Newfoundland and Labrador",4.0,"00000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",27550,26950,7625,5200,27.7,19.3,-8.4
"10","Newfoundland and Labrador",4.0,"00000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",333340,324715,60020,40420,18.0,12.4,-5.6
"10","Newfoundland and Labrador",4.0,"00000","Low-income measure, after-tax (LIM-AT)","65 years and over",65425,95200,14350,22250,21.9,23.4,1.5
