"Geographic code","Geographic name","Geographic type","Geographic name, Province or territory","Geographic code, Province or territory","Global non-response rate","Data quality flag","Low-income concepts","Age groups","Population in private households for income status, 2006","Population in private households for income status, 2016","Number of persons in low income, 2005","Number of persons in low income, 2015","Prevalence of low income (%), 2005","Prevalence of low income (%), 2015","Prevalence of low income (%), Difference"
"1001","Division No.  1","Census division","Newfoundland and Labrador","10",3.7,"00000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",245205,266705,43860,35360,17.9,13.3,-4.6
"1001","Division No.  1","Census division","Newfoundland and Labrador","10",3.7,"00000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",48920,48750,11080,7740,22.6,15.9,-6.7
"1001","Division No.  1","Census division","Newfoundland and Labrador","10",3.7,"00000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",14535,15240,3435,2620,23.6,17.2,-6.4
"1001","Division No.  1","Census division","Newfoundland and Labrador","10",3.7,"00000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",166850,174545,27410,20025,16.4,11.5,-4.9
"1001","Division No.  1","Census division","Newfoundland and Labrador","10",3.7,"00000","Low-income measure, after-tax (LIM-AT)","65 years and over",29440,43410,5370,7590,18.2,17.5,-0.7
"1001","Division No.  1","Census division","Newfoundland and Labrador","10",3.7,"00000","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",245150,266705,27520,17890,11.2,6.7,-4.5
"1001","Division No.  1","Census division","Newfoundland and Labrador","10",3.7,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 17 years",48855,48750,6820,3680,14.0,7.5,-6.5
"1001","Division No.  1","Census division","Newfoundland and Labrador","10",3.7,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 5 years",14525,15240,2170,1300,14.9,8.5,-6.4
"1001","Division No.  1","Census division","Newfoundland and Labrador","10",3.7,"00000","Low-income cut-offs, after-tax (LICO-AT)","18 to 64 years",166850,174545,19575,13520,11.7,7.7,-4.0
"1001","Division No.  1","Census division","Newfoundland and Labrador","10",3.7,"00000","Low-income cut-offs, after-tax (LICO-AT)","65 years and over",29440,43410,1130,695,3.8,1.6,-2.2
"1002","Division No.  2","Census division","Newfoundland and Labrador","10",4.2,"00000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",22120,20130,4705,3425,21.3,17.0,-4.3
"1002","Division No.  2","Census division","Newfoundland and Labrador","10",4.2,"00000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",4295,3190,1090,605,25.4,19.0,-6.4
"1002","Division No.  2","Census division","Newfoundland and Labrador","10",4.2,"00000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",1125,835,400,175,35.6,21.0,-14.6
"1002","Division No.  2","Census division","Newfoundland and Labrador","10",4.2,"00000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",14950,12430,2760,1515,18.5,12.2,-6.3
"1002","Division No.  2","Census division","Newfoundland and Labrador","10",4.2,"00000","Low-income measure, after-tax (LIM-AT)","65 years and over",2865,4510,860,1310,30.0,29.0,-1.0
"1002","Division No.  2","Census division","Newfoundland and Labrador","10",4.2,"00000","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",22115,20130,1805,785,8.2,3.9,-4.3
"1002","Division No.  2","Census division","Newfoundland and Labrador","10",4.2,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 17 years",4295,3190,440,180,10.2,5.6,-4.6
"1002","Division No.  2","Census division","Newfoundland and Labrador","10",4.2,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 5 years",1130,840,175,55,15.5,6.5,-9.0
"1002","Division No.  2","Census division","Newfoundland and Labrador","10",4.2,"00000","Low-income cut-offs, after-tax (LICO-AT)","18 to 64 years",14955,12430,1325,570,8.9,4.6,-4.3
"1002","Division No.  2","Census division","Newfoundland and Labrador","10",4.2,"00000","Low-income cut-offs, after-tax (LICO-AT)","65 years and over",2870,4510,45,35,1.6,0.8,-0.8
"1003","Division No.  3","Census division","Newfoundland and Labrador","10",4.3,"00000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",16640,14505,3830,2840,23.0,19.6,-3.4
"1003","Division No.  3","Census division","Newfoundland and Labrador","10",4.3,"00000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",2995,2065,900,415,30.1,20.1,-10.0
"1003","Division No.  3","Census division","Newfoundland and Labrador","10",4.3,"00000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",750,555,285,130,38.0,23.4,-14.6
"1003","Division No.  3","Census division","Newfoundland and Labrador","10",4.3,"00000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",11165,8920,2225,1180,19.9,13.2,-6.7
"1003","Division No.  3","Census division","Newfoundland and Labrador","10",4.3,"00000","Low-income measure, after-tax (LIM-AT)","65 years and over",2475,3510,710,1240,28.7,35.3,6.6
"1003","Division No.  3","Census division","Newfoundland and Labrador","10",4.3,"00000","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",16640,14505,1510,535,9.1,3.7,-5.4
"1003","Division No.  3","Census division","Newfoundland and Labrador","10",4.3,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 17 years",2995,2065,455,110,15.2,5.3,-9.9
"1003","Division No.  3","Census division","Newfoundland and Labrador","10",4.3,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 5 years",745,555,150,40,20.1,7.2,-12.9
"1003","Division No.  3","Census division","Newfoundland and Labrador","10",4.3,"00000","Low-income cut-offs, after-tax (LICO-AT)","18 to 64 years",11165,8925,1020,390,9.1,4.4,-4.7
"1003","Division No.  3","Census division","Newfoundland and Labrador","10",4.3,"00000","Low-income cut-offs, after-tax (LICO-AT)","65 years and over",2475,3515,40,35,1.6,1.0,-0.6
