"Geographic code","Geographic name","Geographic type","Geographic name, Province or territory","Geographic code, Province or territory","Additional province code","Global non-response rate","Data quality flag","Low-income concepts","Age groups","Population in private households for income status, 2006","Population in private households for income status, 2016","Number of persons in low income, 2005","Number of persons in low income, 2015","Prevalence of low income (%), 2005","Prevalence of low income (%), 2015","Prevalence of low income (%), Difference"
"001","St. John's","CMA","Newfoundland and Labrador","10","",3.5,"00000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",178710,203305,28565,24390,16.0,12.0,-4.0
"001","St. John's","CMA","Newfoundland and Labrador","10","",3.5,"00000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",36425,38640,7565,5755,20.8,14.9,-5.9
"001","St. John's","CMA","Newfoundland and Labrador","10","",3.5,"00000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",11170,12480,2410,2055,21.6,16.5,-5.1
"001","St. John's","CMA","Newfoundland and Labrador","10","",3.5,"00000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",122985,135955,18570,14975,15.1,11.0,-4.1
"001","St. John's","CMA","Newfoundland and Labrador","10","",3.5,"00000","Low-income measure, after-tax (LIM-AT)","65 years and over",19305,28705,2430,3660,12.6,12.8,0.2
"001","St. John's","CMA","Newfoundland and Labrador","10","",3.5,"00000","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",178675,203305,21570,15165,12.1,7.5,-4.6
"001","St. John's","CMA","Newfoundland and Labrador","10","",3.5,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 17 years",36380,38640,5335,3205,14.7,8.3,-6.4
"001","St. John's","CMA","Newfoundland and Labrador","10","",3.5,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 5 years",11160,12480,1695,1155,15.2,9.3,-5.9
"001","St. John's","CMA","Newfoundland and Labrador","10","",3.5,"00000","Low-income cut-offs, after-tax (LICO-AT)","18 to 64 years",122985,135955,15280,11430,12.4,8.4,-4.0
"001","St. John's","CMA","Newfoundland and Labrador","10","",3.5,"00000","Low-income cut-offs, after-tax (LICO-AT)","65 years and over",19305,28710,955,530,4.9,1.8,-3.1
"005","Bay Roberts","CA","Newfoundland and Labrador","10","",3.5,"00000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",10470,11035,2380,1845,22.7,16.7,-6.0
