"Geographic code","Geographic name","Geographic Type","Geographic Name, province or territory","Geographic Code, province or territory","Global non-response rate","Data quality flag","Age","Knowledge of official languages - Total (2016 counts)","Knowledge of official languages - English only (2016 counts)","Knowledge of official languages - French only (2016 counts)","Knowledge of official languages - English and French (2016 counts)","Knowledge of official languages - Neither English nor French (2016 counts)","Knowledge of official languages - Total (% distribution (2016))","Knowledge of official languages - English only (% distribution (2016))","Knowledge of official languages - French only (% distribution (2016))","Knowledge of official languages - English and French (% distribution (2016))","Knowledge of official languages - Neither English nor French (% distribution (2016))"
"1001","Division No.  1","Census division","Newfoundland and Labrador","10","3.7","00000","Total","268180","249715","55","17860","555","100","93.1","0","6.7","0.2"
"1001","Division No.  1","Census division","Newfoundland and Labrador","10","3.7","00000","0 to 14","40570","36255","25","4050","245","100","89.4","0.1","10","0.6"
"1001","Division No.  1","Census division","Newfoundland and Labrador","10","3.7","00000","0 to 4","12520","12255","15","120","130","100","97.9","0.1","1","1"
"1001","Division No.  1","Census division","Newfoundland and Labrador","10","3.7","00000","5 to 9","14245","12890","5","1270","80","100","90.5","0","8.9","0.6"
"1001","Division No.  1","Census division","Newfoundland and Labrador","10","3.7","00000","10 to 14","13810","11105","0","2660","40","100","80.4","0","19.3","0.3"
"1001","Division No.  1","Census division","Newfoundland and Labrador","10","3.7","00000","15 to 24","30745","25280","0","5415","50","100","82.2","0","17.6","0.2"
"1001","Division No.  1","Census division","Newfoundland and Labrador","10","3.7","00000","15 to 19","14105","11040","0","3040","20","100","78.3","0","21.6","0.1"
"1001","Division No.  1","Census division","Newfoundland and Labrador","10","3.7","00000","20 to 24","16640","14240","0","2375","25","100","85.6","0","14.3","0.2"
"1001","Division No.  1","Census division","Newfoundland and Labrador","10","3.7","00000","25 to 44","71270","65775","15","5365","120","100","92.3","0","7.5","0.2"
"1001","Division No.  1","Census division","Newfoundland and Labrador","10","3.7","00000","45 to 64","81165","78755","10","2330","75","100","97","0","2.9","0.1"
"1001","Division No.  1","Census division","Newfoundland and Labrador","10","3.7","00000","65 and over","44425","43650","5","705","60","100","98.3","0","1.6","0.1"
"1001","Division No.  1","Census division","Newfoundland and Labrador","10","3.7","00000","65 to 74","28975","28410","5","525","35","100","98.1","0","1.8","0.1"
"1001","Division No.  1","Census division","Newfoundland and Labrador","10","3.7","00000","75 and over","15450","15240","0","180","25","100","98.6","0","1.2","0.2"
"1002","Division No.  2","Census division","Newfoundland and Labrador","10","4.2","00000","Total","20185","19655","0","520","5","100","97.4","0","2.6","0"
"1002","Division No.  2","Census division","Newfoundland and Labrador","10","4.2","00000","0 to 14","2540","2400","0","140","0","100","94.5","0","5.5","0"
"1002","Division No.  2","Census division","Newfoundland and Labrador","10","4.2","00000","0 to 4","670","670","0","5","0","100","100","0","0.7","0"
"1002","Division No.  2","Census division","Newfoundland and Labrador","10","4.2","00000","5 to 9","880","835","0","45","0","100","94.9","0","5.1","0"
"1002","Division No.  2","Census division","Newfoundland and Labrador","10","4.2","00000","10 to 14","985","895","0","90","0","100","90.9","0","9.1","0"
"1002","Division No.  2","Census division","Newfoundland and Labrador","10","4.2","00000","15 to 24","1930","1775","0","155","0","100","92","0","8","0"
"1002","Division No.  2","Census division","Newfoundland and Labrador","10","4.2","00000","15 to 19","1100","1000","0","95","5","100","90.9","0","8.6","0.5"
"1002","Division No.  2","Census division","Newfoundland and Labrador","10","4.2","00000","20 to 24","835","775","0","60","0","100","92.8","0","7.2","0"
"1002","Division No.  2","Census division","Newfoundland and Labrador","10","4.2","00000","25 to 44","3855","3760","0","90","0","100","97.5","0","2.3","0"
"1002","Division No.  2","Census division","Newfoundland and Labrador","10","4.2","00000","45 to 64","7300","7200","5","95","5","100","98.6","0.1","1.3","0.1"
