"Geographic code","Geographic name","Geographic Type","Geographic Name, province or territory","Geographic Code, province or territory","Additional province code","Global non-response rate","Data quality flag","Age","Knowledge of official languages - Total (2016 counts)","Knowledge of official languages - English only (2016 counts)","Knowledge of official languages - French only (2016 counts)","Knowledge of official languages - English and French (2016 counts)","Knowledge of official languages - Neither English nor French (2016 counts)","Knowledge of official languages - Total (% distribution (2016))","Knowledge of official languages - English only (% distribution (2016))","Knowledge of official languages - French only (% distribution (2016))","Knowledge of official languages - English and French (% distribution (2016))","Knowledge of official languages - Neither English nor French (% distribution (2016))"
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","Total","204390","187430","50","16380","535","100","91.7","0","8","0.3"
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","0 to 14","32410","28255","25","3885","245","100","87.2","0.1","12","0.8"
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","0 to 4","10270","10010","15","120","130","100","97.5","0.1","1.2","1.3"
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","5 to 9","11370","10030","5","1265","75","100","88.2","0","11.1","0.7"
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","10 to 14","10770","8225","0","2510","40","100","76.4","0","23.3","0.4"
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","15 to 24","24855","19965","0","4840","45","100","80.3","0","19.5","0.2"
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","15 to 19","10915","8220","0","2670","20","100","75.3","0","24.5","0.2"
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","20 to 24","13940","11745","0","2165","20","100","84.3","0","15.5","0.1"
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","25 to 44","59135","54010","15","4995","115","100","91.3","0","8.4","0.2"
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","45 to 64","58530","56380","5","2075","70","100","96.3","0","3.5","0.1"
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","65 and over","29460","28810","5","585","60","100","97.8","0","2","0.2"
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","65 to 74","18930","18460","0","430","30","100","97.5","0","2.3","0.2"
"001","St. John's","CMA","Newfoundland and Labrador","10"," ","3.5","00000","75 and over","10530","10350","5","155","25","100","98.3","0","1.5","0.2"
"005","Bay Roberts","CA","Newfoundland and Labrador","10"," ","3.5","00000","Total","11080","10730","0","355","0","100","96.8","0","3.2","0"
"005","Bay Roberts","CA","Newfoundland and Labrador","10"," ","3.5","00000","0 to 14","1765","1730","0","30","0","100","98","0","1.7","0"
"005","Bay Roberts","CA","Newfoundland and Labrador","10"," ","3.5","00000","0 to 4","505","505","0","0","0","100","100","0","0","0"
"005","Bay Roberts","CA","Newfoundland and Labrador","10"," ","3.5","00000","5 to 9","610","610","0","0","0","100","100","0","0","0"
"005","Bay Roberts","CA","Newfoundland and Labrador","10"," ","3.5","00000","10 to 14","645","615","0","25","0","100","95.3","0","3.9","0"
"005","Bay Roberts","CA","Newfoundland and Labrador","10"," ","3.5","00000","15 to 24","1140","1005","0","135","0","100","88.2","0","11.8","0"
"005","Bay Roberts","CA","Newfoundland and Labrador","10"," ","3.5","00000","15 to 19","630","545","0","85","0","100","86.5","0","13.5","0"
"005","Bay Roberts","CA","Newfoundland and Labrador","10"," ","3.5","00000","20 to 24","510","460","0","50","0","100","90.2","0","9.8","0"
"005","Bay Roberts","CA","Newfoundland and Labrador","10"," ","3.5","00000","25 to 44","2485","2355","0","130","0","100","94.8","0","5.2","0"
"005","Bay Roberts","CA","Newfoundland and Labrador","10"," ","3.5","00000","45 to 64","3515","3465","0","45","0","100","98.6","0","1.3","0"
"005","Bay Roberts","CA","Newfoundland and Labrador","10"," ","3.5","00000","65 and over","2185","2170","0","15","0","100","99.3","0","0.7","0"
"005","Bay Roberts","CA","Newfoundland and Labrador","10"," ","3.5","00000","65 to 74","1440","1425","0","15","0","100","99","0","1","0"
"005","Bay Roberts","CA","Newfoundland and Labrador","10"," ","3.5","00000","75 and over","745","745","0","0","0","100","100","0","0","0"
"010","Grand Falls-Windsor","CA","Newfoundland and Labrador","10"," ","4.1","00000","Total","14035","13435","0","580","20","100","95.7","0","4.1","0.1"
"010","Grand Falls-Windsor","CA","Newfoundland and Labrador","10"," ","4.1","00000","0 to 14","2065","1920","0","140","0","100","93","0","6.8","0"
"010","Grand Falls-Windsor","CA","Newfoundland and Labrador","10"," ","4.1","00000","0 to 4","590","590","0","0","0","100","100","0","0","0"
"010","Grand Falls-Windsor","CA","Newfoundland and Labrador","10"," ","4.1","00000","5 to 9","720","665","0","50","0","100","92.4","0","6.9","0"
"010","Grand Falls-Windsor","CA","Newfoundland and Labrador","10"," ","4.1","00000","10 to 14","755","660","0","95","0","100","87.4","0","12.6","0"
"010","Grand Falls-Windsor","CA","Newfoundland and Labrador","10"," ","4.1","00000","15 to 24","1465","1245","0","215","5","100","85","0","14.7","0.3"
"010","Grand Falls-Windsor","CA","Newfoundland and Labrador","10"," ","4.1","00000","15 to 19","770","625","0","140","0","100","81.2","0","18.2","0"
"010","Grand Falls-Windsor","CA","Newfoundland and Labrador","10"," ","4.1","00000","20 to 24","695","615","0","80","0","100","88.5","0","11.5","0"
"010","Grand Falls-Windsor","CA","Newfoundland and Labrador","10"," ","4.1","00000","25 to 44","3145","3025","0","115","5","100","96.2","0","3.7","0.2"
"010","Grand Falls-Windsor","CA","Newfoundland and Labrador","10"," ","4.1","00000","45 to 64","4455","4365","0","85","10","100","98","0","1.9","0.2"
"010","Grand Falls-Windsor","CA","Newfoundland and Labrador","10"," ","4.1","00000","65 and over","2905","2885","0","15","0","100","99.3","0","0.5","0"
"010","Grand Falls-Windsor","CA","Newfoundland and Labrador","10"," ","4.1","00000","65 to 74","1750","1740","0","15","5","100","99.4","0","0.9","0.3"
"010","Grand Falls-Windsor","CA","Newfoundland and Labrador","10"," ","4.1","00000","75 and over","1150","1150","0","5","0","100","100","0","0.4","0"
"011","Gander","CA","Newfoundland and Labrador","10"," ","3.2","00000","Total","13060","12135","0","915","15","100","92.9","0","7","0.1"
"011","Gander","CA","Newfoundland and Labrador","10"," ","3.2","00000","0 to 14","2170","1910","0","255","5","100","88","0","11.8","0.2"
