"Geographic code","Geographic name","Geographic Type","Geographic Name, province or territory","Geographic Code, province or territory","Geographic code, census division","Geographic code, census metropolitan area or census agglomeration","Global non-response rate","Data quality flag","Age","Knowledge of official languages - Total (2016 counts)","Knowledge of official languages - English only (2016 counts)","Knowledge of official languages - French only (2016 counts)","Knowledge of official languages - English and French (2016 counts)","Knowledge of official languages - Neither English nor French (2016 counts)","Knowledge of official languages - Total (% distribution (2016))","Knowledge of official languages - English only (% distribution (2016))","Knowledge of official languages - French only (% distribution (2016))","Knowledge of official languages - English and French (% distribution (2016))","Knowledge of official languages - Neither English nor French (% distribution (2016))"
"1001409","Bay Roberts","Town","Newfoundland and Labrador","10","01","005","3.2","00000","Total","6010","5755","0","255","0","100","95.8","0","4.2","0"
"1001409","Bay Roberts","Town","Newfoundland and Labrador","10","01","005","3.2","00000","0 to 14","1055","1030","0","25","0","100","97.6","0","2.4","0"
"1001409","Bay Roberts","Town","Newfoundland and Labrador","10","01","005","3.2","00000","0 to 4","300","295","0","0","0","100","98.3","0","0","0"
"1001409","Bay Roberts","Town","Newfoundland and Labrador","10","01","005","3.2","00000","5 to 9","360","360","0","0","0","100","100","0","0","0"
"1001409","Bay Roberts","Town","Newfoundland and Labrador","10","01","005","3.2","00000","10 to 14","395","370","0","30","0","100","93.7","0","7.6","0"
"1001409","Bay Roberts","Town","Newfoundland and Labrador","10","01","005","3.2","00000","15 to 24","615","510","0","105","0","100","82.9","0","17.1","0"
"1001409","Bay Roberts","Town","Newfoundland and Labrador","10","01","005","3.2","00000","15 to 19","340","270","0","70","0","100","79.4","0","20.6","0"
"1001409","Bay Roberts","Town","Newfoundland and Labrador","10","01","005","3.2","00000","20 to 24","280","240","0","40","0","100","85.7","0","14.3","0"
"1001409","Bay Roberts","Town","Newfoundland and Labrador","10","01","005","3.2","00000","25 to 44","1400","1310","0","85","0","100","93.6","0","6.1","0"
"1001409","Bay Roberts","Town","Newfoundland and Labrador","10","01","005","3.2","00000","45 to 64","1815","1785","0","30","0","100","98.3","0","1.7","0"
"1001409","Bay Roberts","Town","Newfoundland and Labrador","10","01","005","3.2","00000","65 and over","1135","1125","0","5","0","100","99.1","0","0.4","0"
"1001409","Bay Roberts","Town","Newfoundland and Labrador","10","01","005","3.2","00000","65 to 74","740","735","0","5","0","100","99.3","0","0.7","0"
"1001409","Bay Roberts","Town","Newfoundland and Labrador","10","01","005","3.2","00000","75 and over","390","390","0","0","0","100","100","0","0","0"
"1001485","Conception Bay South","Town","Newfoundland and Labrador","10","01","001","2.5","00000","Total","25915","24135","0","1770","10","100","93.1","0","6.8","0"
"1001485","Conception Bay South","Town","Newfoundland and Labrador","10","01","001","2.5","00000","0 to 14","4610","4045","0","555","5","100","87.7","0","12","0.1"
"1001485","Conception Bay South","Town","Newfoundland and Labrador","10","01","001","2.5","00000","0 to 4","1425","1410","0","10","0","100","98.9","0","0.7","0"
"1001485","Conception Bay South","Town","Newfoundland and Labrador","10","01","001","2.5","00000","5 to 9","1645","1485","0","160","0","100","90.3","0","9.7","0"
"1001485","Conception Bay South","Town","Newfoundland and Labrador","10","01","001","2.5","00000","10 to 14","1545","1155","0","385","0","100","74.8","0","24.9","0"
"1001485","Conception Bay South","Town","Newfoundland and Labrador","10","01","001","2.5","00000","15 to 24","2920","2285","0","625","5","100","78.3","0","21.4","0.2"
"1001485","Conception Bay South","Town","Newfoundland and Labrador","10","01","001","2.5","00000","15 to 19","1530","1105","0","430","5","100","72.2","0","28.1","0.3"
"1001485","Conception Bay South","Town","Newfoundland and Labrador","10","01","001","2.5","00000","20 to 24","1385","1185","0","195","0","100","85.6","0","14.1","0"
"1001485","Conception Bay South","Town","Newfoundland and Labrador","10","01","001","2.5","00000","25 to 44","7175","6780","0","395","0","100","94.5","0","5.5","0"
"1001485","Conception Bay South","Town","Newfoundland and Labrador","10","01","001","2.5","00000","45 to 64","7705","7550","0","160","0","100","98","0","2.1","0"
"1001485","Conception Bay South","Town","Newfoundland and Labrador","10","01","001","2.5","00000","65 and over","3505","3465","0","40","0","100","98.9","0","1.1","0"
"1001485","Conception Bay South","Town","Newfoundland and Labrador","10","01","001","2.5","00000","65 to 74","2445","2420","0","25","0","100","99","0","1","0"
"1001485","Conception Bay South","Town","Newfoundland and Labrador","10","01","001","2.5","00000","75 and over","1055","1050","0","10","0","100","99.5","0","0.9","0"
"1001504","Portugal Cove-St. Philip's","Town","Newfoundland and Labrador","10","01","001","3.0","00000","Total","8125","7405","0","715","10","100","91.1","0","8.8","0.1"
"1001504","Portugal Cove-St. Philip's","Town","Newfoundland and Labrador","10","01","001","3.0","00000","0 to 14","1610","1330","0","275","0","100","82.6","0","17.1","0"
"1001504","Portugal Cove-St. Philip's","Town","Newfoundland and Labrador","10","01","001","3.0","00000","0 to 4","495","495","0","0","0","100","100","0","0","0"
"1001504","Portugal Cove-St. Philip's","Town","Newfoundland and Labrador","10","01","001","3.0","00000","5 to 9","570","465","0","105","0","100","81.6","0","18.4","0"
"1001504","Portugal Cove-St. Philip's","Town","Newfoundland and Labrador","10","01","001","3.0","00000","10 to 14","545","375","0","175","0","100","68.8","0","32.1","0"
"1001504","Portugal Cove-St. Philip's","Town","Newfoundland and Labrador","10","01","001","3.0","00000","15 to 24","760","610","0","155","5","100","80.3","0","20.4","0.7"
"1001504","Portugal Cove-St. Philip's","Town","Newfoundland and Labrador","10","01","001","3.0","00000","15 to 19","410","315","0","95","0","100","76.8","0","23.2","0"
"1001504","Portugal Cove-St. Philip's","Town","Newfoundland and Labrador","10","01","001","3.0","00000","20 to 24","350","290","0","55","5","100","82.9","0","15.7","1.4"
"1001504","Portugal Cove-St. Philip's","Town","Newfoundland and Labrador","10","01","001","3.0","00000","25 to 44","2265","2100","0","170","0","100","92.7","0","7.5","0"
"1001504","Portugal Cove-St. Philip's","Town","Newfoundland and Labrador","10","01","001","3.0","00000","45 to 64","2470","2385","0","90","0","100","96.6","0","3.6","0"
"1001504","Portugal Cove-St. Philip's","Town","Newfoundland and Labrador","10","01","001","3.0","00000","65 and over","1015","990","0","25","0","100","97.5","0","2.5","0"
"1001504","Portugal Cove-St. Philip's","Town","Newfoundland and Labrador","10","01","001","3.0","00000","65 to 74","700","680","0","20","0","100","97.1","0","2.9","0"
"1001504","Portugal Cove-St. Philip's","Town","Newfoundland and Labrador","10","01","001","3.0","00000","75 and over","320","310","0","10","0","100","96.9","0","3.1","0"
"1001509","Torbay","Town","Newfoundland and Labrador","10","01","001","2.6","00000","Total","7900","7245","0","650","5","100","91.7","0","8.2","0.1"
"1001509","Torbay","Town","Newfoundland and Labrador","10","01","001","2.6","00000","0 to 14","1655","1390","0","260","5","100","84","0","15.7","0.3"
"1001509","Torbay","Town","Newfoundland and Labrador","10","01","001","2.6","00000","0 to 4","450","440","0","10","5","100","97.8","0","2.2","1.1"
"1001509","Torbay","Town","Newfoundland and Labrador","10","01","001","2.6","00000","5 to 9","645","555","0","90","0","100","86","0","14","0"
"1001509","Torbay","Town","Newfoundland and Labrador","10","01","001","2.6","00000","10 to 14","560","400","0","160","0","100","71.4","0","28.6","0"
"1001509","Torbay","Town","Newfoundland and Labrador","10","01","001","2.6","00000","15 to 24","835","680","0","150","0","100","81.4","0","18","0"
"1001509","Torbay","Town","Newfoundland and Labrador","10","01","001","2.6","00000","15 to 19","400","305","0","90","0","100","76.3","0","22.5","0"
"1001509","Torbay","Town","Newfoundland and Labrador","10","01","001","2.6","00000","20 to 24","430","370","0","60","0","100","86","0","14","0"
"1001509","Torbay","Town","Newfoundland and Labrador","10","01","001","2.6","00000","25 to 44","2320","2150","0","175","0","100","92.7","0","7.5","0"
"1001509","Torbay","Town","Newfoundland and Labrador","10","01","001","2.6","00000","45 to 64","2280","2230","0","55","0","100","97.8","0","2.4","0"
"1001509","Torbay","Town","Newfoundland and Labrador","10","01","001","2.6","00000","65 and over","810","800","0","10","0","100","98.8","0","1.2","0"
"1001509","Torbay","Town","Newfoundland and Labrador","10","01","001","2.6","00000","65 to 74","535","530","0","5","0","100","99.1","0","0.9","0"
"1001509","Torbay","Town","Newfoundland and Labrador","10","01","001","2.6","00000","75 and over","275","265","0","5","0","100","96.4","0","1.8","0"
"1001517","Paradise","Town","Newfoundland and Labrador","10","01","001","2.9","00000","Total","21385","19880","0","1495","5","100","93","0","7","0"
"1001517","Paradise","Town","Newfoundland and Labrador","10","01","001","2.9","00000","0 to 14","4620","4095","0","520","0","100","88.6","0","11.3","0"
"1001517","Paradise","Town","Newfoundland and Labrador","10","01","001","2.9","00000","0 to 4","1530","1520","0","5","5","100","99.3","0","0.3","0.3"
"1001517","Paradise","Town","Newfoundland and Labrador","10","01","001","2.9","00000","5 to 9","1635","1455","0","180","0","100","89","0","11","0"
"1001517","Paradise","Town","Newfoundland and Labrador","10","01","001","2.9","00000","10 to 14","1455","1125","0","325","0","100","77.3","0","22.3","0"
"1001517","Paradise","Town","Newfoundland and Labrador","10","01","001","2.9","00000","15 to 24","2280","1895","0","385","5","100","83.1","0","16.9","0.2"
"1001517","Paradise","Town","Newfoundland and Labrador","10","01","001","2.9","00000","15 to 19","1140","890","0","255","0","100","78.1","0","22.4","0"
"1001517","Paradise","Town","Newfoundland and Labrador","10","01","001","2.9","00000","20 to 24","1135","1005","0","130","0","100","88.5","0","11.5","0"
"1001517","Paradise","Town","Newfoundland and Labrador","10","01","001","2.9","00000","25 to 44","7415","6960","0","450","0","100","93.9","0","6.1","0"
